symbol,exchange,firstTradeDateEpochUtc,gmtOffSetMilliseconds,longName,maxAge,quoteType,shortName,symbol,timeZoneFullName,timeZoneShortName,underlyingSymbol,uuid
000078.SZ,SHZ,1998-12-18 01:30:00,28800000,"Shenzhen Neptunus Bioengineering Co., Ltd.",1,EQUITY,SHN NEPTUNUS BIO,000078.SZ,Asia/Shanghai,CST,000078.SZ,9e436f5c-9c38-3b54-95bc-b849502ba185
000145.SS,SHH,,28800000,,1,INDEX,SSE Select Resources Industries,000145.SS,Asia/Shanghai,CST,000145.SS,
002403.SZ,SHZ,2010-05-11 02:30:00,28800000,"Aishida Co.,Ltd",1,EQUITY,AISHIDA CO LTD,002403.SZ,Asia/Shanghai,CST,002403.SZ,564278da-b4ec-3158-8c22-d9f5fc767f9f
002595.SZ,SHZ,2011-06-28 02:30:00,28800000,"Himile Mechanical Science and Technology (Shandong) Co., Ltd",1,EQUITY,SHANDONG HIMILE ME,002595.SZ,Asia/Shanghai,CST,002595.SZ,0e99963e-0cc5-3661-92d1-1e85a637a715
005680.KS,KSC,2000-01-04 00:00:00,32400000,"Samyoung Electronics Co., Ltd",1,EQUITY,SamyoungElec,005680.KS,Asia/Seoul,KST,005680.KS,60f8a205-38a3-3ce3-8d32-717036b2823f
0060PA.KL,KLS,2019-05-15 02:00:00,28800000,,1,EQUITY,HM-PA,0060PA.KL,Asia/Kuala_Lumpur,MYT,0060PA.KL,3aa19e80-4970-3001-8a00-905adac5c04b
007540.KS,KSC,2000-01-04 00:00:00,32400000,Sempio Company,1,EQUITY,SEMPIO,007540.KS,Asia/Seoul,KST,007540.KS,5dd89bc0-b46b-39f2-9c07-643a1cb025b5
013890.KS,KSC,2019-11-05 00:00:00,32400000,"Zinus, Inc",1,EQUITY,ZINUS,013890.KS,Asia/Seoul,KST,013890.KS,1d3a219a-4b09-3fbf-afd0-c297b4bf15ed
0167.HK,HKG,2000-01-04 01:30:00,28800000,IDT International Limited,1,EQUITY,IDT INT'L,0167.HK,Asia/Hong_Kong,HKT,0167.HK,125537fc-cd58-3315-b8ee-7331385b96f7
0262.HK,HKG,2000-04-03 02:30:00,28800000,Deson Development International Holdings Limited,1,EQUITY,DESON DEV INT'L,0262.HK,Asia/Hong_Kong,HKT,0262.HK,169e791f-11bd-39d0-94dd-91065e766fc3
