symbol,exchange,firstTradeDateEpochUtc,gmtOffSetMilliseconds,longName,maxAge,quoteType,shortName,symbol,timeZoneFullName,timeZoneShortName,underlyingSymbol,uuid
000012.SZ,SHZ,1992-01-07 01:30:00,28800000,"CSG Holding Co., Ltd.",1,EQUITY,CSG HOLDING CO,000012.SZ,Asia/Shanghai,CST,000012.SZ,a58fe2c7-5c59-3377-be76-c77e7f563afd
000021.SZ,SHZ,1994-02-02 01:30:00,28800000,"Shenzhen Kaifa Technology Co., Ltd.",1,EQUITY,SHENZHEN KAIFA TEC,000021.SZ,Asia/Shanghai,CST,000021.SZ,e4e59d81-4f3b-36c9-bf08-9a9ee36b782d
000905.SZ,SHZ,1999-04-29 02:30:00,28800000,"Xiamen Port Development Co., Ltd.",1,EQUITY,XIAMEN PORT DEV,000905.SZ,Asia/Shanghai,CST,000905.SZ,55cd9bdc-a3bd-3b98-933d-cd221cdac48d
002099.SZ,SHZ,2006-12-26 01:30:00,28800000,"Zhejiang Hisoar Pharmaceutical Co., Ltd.",1,EQUITY,ZHEJIANG HISOAR PH,002099.SZ,Asia/Shanghai,CST,002099.SZ,b20e8548-e49b-31bf-82f6-1158dd31e275
002499.SZ,SHZ,2010-11-09 01:30:00,28800000,"Kelin Environmental Protection Equipment, Inc.",1,EQUITY,KELIN ENVIRONMENTA,002499.SZ,Asia/Shanghai,CST,002499.SZ,7533cb26-c74f-30df-acd0-e26cd351298d
002581.SZ,SHZ,2011-05-20 02:30:00,28800000,"Shandong Sinobioway Biomedicine Co., Ltd.",1,EQUITY,SHANDONG SINOBIOWA,002581.SZ,Asia/Shanghai,CST,002581.SZ,22141f43-25de-311b-997d-14ee98381b2b
002626.SZ,SHZ,2011-10-28 02:30:00,28800000,Xiamen Kingdomway Group Company,1,EQUITY,XIAMEN KINGDOMWAY,002626.SZ,Asia/Shanghai,CST,002626.SZ,288a5415-e859-3718-8780-a55e68a65c25
002932.SZ,SHZ,2018-07-10 02:30:00,28800000,"Wuhan Easy Diagnosis Biomedicine Co.,Ltd.",1,EQUITY,WUHAN EASY DIAGNOS,002932.SZ,Asia/Shanghai,CST,002932.SZ,017d0e9e-73be-396e-a9c4-12c040a1d8a9
00653L.TW,TAI,2016-03-16 01:00:00,28800000,Fubon NIFTY 2X Leveraged Index ETF,1,ETF,FUBON ASSET MANAGEMENT CO LTD N,00653L.TW,Asia/Taipei,CST,00653L.TW,00f77d0e-0c2e-333f-a1db-e2d231406c48
00668K.TW,TAI,2016-10-03 02:00:00,28800000,Cathay DJIA ETF,1,ETF,CATHAY SECS INV TRUST CO LTD 00,00668K.TW,Asia/Taipei,CST,00668K.TW,ebe0e764-5e58-35d6-9701-87d714f3d06e
0097.KL,KLS,2005-09-12 02:00:00,28800000,,1,EQUITY,VITROX,0097.KL,Asia/Kuala_Lumpur,MYT,0097.KL,dff87f44-7e06-38b4-9d3a-3e6445794132
00FH.Z,ZRH,,3600000,,1,INDEX,STX USA LOW CARB.50 NR EO,00FH.Z,Europe/Zurich,CET,00FH.Z,
0299.HK,HKG,2006-05-25 02:30:00,28800000,Glory Sun Land Group Limited,1,EQUITY,GLORY SUN LAND,0299.HK,Asia/Hong_Kong,HKT,0299.HK,2c1b396f-6024-3d5a-afbf-cd1038dc9b10
