symbol,exchange,firstTradeDateEpochUtc,gmtOffSetMilliseconds,longName,maxAge,quoteType,shortName,symbol,timeZoneFullName,timeZoneShortName,underlyingSymbol,uuid
000370.KS,KSC,2000-01-04 00:00:00,32400000,"Hanwha General Insurance Co., Ltd.",1,EQUITY,Hanwha General Ins,000370.KS,Asia/Seoul,KST,000370.KS,1e42591d-9b0e-3be7-9172-dca1524dcb96
000842.SS,SHH,,28800000,,1,INDEX,CSI 800 Equal Weight Index,000842.SS,Asia/Shanghai,CST,000842.SS,
000868.SZ,SHZ,1997-07-25 01:30:00,28800000,"Anhui Ankai Automobile Co., Ltd",1,EQUITY,ANHUI ANKAI AUTOMO,000868.SZ,Asia/Shanghai,CST,000868.SZ,15b12483-c7cf-38ae-a230-1a432a440ad1
002085.SZ,SHZ,2006-11-28 01:30:00,28800000,"Zhejiang Wanfeng Auto Wheel Co., Ltd.",1,EQUITY,ZHEJIANG WANFENG A,002085.SZ,Asia/Shanghai,CST,002085.SZ,c893f956-93f6-3ab2-948a-9152d98aeab0
002104.SZ,SHZ,2007-01-10 01:30:00,28800000,"Hengbao Co.,Ltd.",1,EQUITY,HENGBAO CO. LTD.,002104.SZ,Asia/Shanghai,CST,002104.SZ,fbee21d1-0522-3308-9957-c829842ade57
002207.SZ,SHZ,2008-01-28 01:30:00,28800000,"Xinjiang Zhundong Petroleum Technology Co., Ltd.",1,EQUITY,XINJIANG ZHUNDONG,002207.SZ,Asia/Shanghai,CST,002207.SZ,e3860e56-1d2c-3917-a991-f3a263110286
002609.SZ,SHZ,2011-08-15 01:30:00,28800000,"Shenzhen Jieshun Science and Technology Industry Co.,Ltd.",1,EQUITY,SHENZHEN JIESHUN S,002609.SZ,Asia/Shanghai,CST,002609.SZ,4c25999d-18c1-3a0f-8dfd-2d8d088096c5
002981.SZ,SHZ,2020-04-17 01:30:00,28800000,Risuntek Inc.,1,EQUITY,RISUNTEK INC,002981.SZ,Asia/Shanghai,CST,002981.SZ,6b060c9a-fedd-3ce6-9300-26e7d0f3c177
003816.SZ,SHZ,2019-08-26 01:30:00,28800000,"CGN Power Co., Ltd.",1,EQUITY,CGN POWER CO LTD,003816.SZ,Asia/Shanghai,CST,003816.SZ,0bf53b28-3517-3e79-bb80-67420398734a
00703.TW,TAI,2017-08-02 01:00:00,28800000,Taishin MSCI China ETF,1,ETF,TAISHIN SECS INV TRUST CO LTD T,00703.TW,Asia/Taipei,CST,00703.TW,0323e0bc-771d-3028-afb7-5747b331fdad
0124.HK,HKG,2000-01-04 01:30:00,28800000,Guangdong Land Holdings Limited,1,EQUITY,GD LAND,0124.HK,Asia/Hong_Kong,HKT,0124.HK,09cb807a-a70f-3d9c-8bb0-59caf9918556
018670.KS,KSC,2000-01-04 00:00:00,32400000,"SK Gas Co., Ltd.",1,EQUITY,SKGas,018670.KS,Asia/Seoul,KST,018670.KS,434c63af-8d48-3a32-9ab4-5824c7666b0d
0238.KL,KLS,2021-09-29 01:00:00,28800000,,1,EQUITY,CEKD,0238.KL,Asia/Kuala_Lumpur,MYT,0238.KL,1e5a90e6-706c-3bad-8963-1a27ca387a85
025320.KQ,KOE,2000-02-11 00:00:00,32400000,Synopex Inc.,1,EQUITY,Synopex,025320.KQ,Asia/Seoul,KST,025320.KQ,7325af0a-822b-3c6f-bbd1-a527e5bd3c41
026G.Z,ZRH,,3600000,,1,INDEX,STX FRANCE50 D.SH.I.GR EO,026G.Z,Europe/Zurich,CET,026G.Z,
