symbol,exchange,firstTradeDateEpochUtc,gmtOffSetMilliseconds,longName,maxAge,quoteType,shortName,symbol,timeZoneFullName,timeZoneShortName,underlyingSymbol,uuid
TASAUSM2.MX,YHD,2006-07-31 14:30:00,-18000000,+TASAUS M2,1,MUTUALFUND,+TASAUS M2,TASAUSM2.MX,America/New_York,EST,TASAUSM2.MX,5920778e-c237-32f0-8e0f-f92a3ff558fd
000053.SS,SHH,,28800000,,1,INDEX,SSE180 Fundamental Weighted  In,000053.SS,Asia/Shanghai,CST,000053.SS,
002190.SZ,SHZ,2007-12-03 01:30:00,28800000,Sichuan Chengfei Integration Technology Corp.Ltd,1,EQUITY,SICHUAN CHENGFEI I,002190.SZ,Asia/Shanghai,CST,002190.SZ,2d84e4e8-2b7a-336a-9339-e183153263f8
002748.SZ,SHZ,2015-03-19 01:30:00,28800000,"Jiangxi Selon Industrial Co., Ltd.",1,EQUITY,JIANGXI SELON INDU,002748.SZ,Asia/Shanghai,CST,002748.SZ,101e80dc-a9a0-3a7a-a8f9-c435ed8b00a7
003036.SZ,SHZ,2021-01-28 01:30:00,28800000,"Zhejiang Taitan Co.,Ltd.",1,EQUITY,ZHEJIANG TAITAN CO,003036.SZ,Asia/Shanghai,CST,003036.SZ,7a2f67e8-03e5-3b0c-aba7-0321c6cb7014
004380.KS,KSC,2000-01-04 00:00:00,32400000,"Samick THK Co., Ltd.",1,EQUITY,SAMICKTHK,004380.KS,Asia/Seoul,KST,004380.KS,8954b97d-ad0e-3637-9132-d162553f12ca
004780.KQ,KOE,2000-02-11 00:00:00,32400000,"Daeryuk Can Co., Ltd.",1,EQUITY,Daeryuk,004780.KQ,Asia/Seoul,KST,004780.KQ,7f39f634-4e8c-3646-ab1c-14f3553fe206
00FS.Z,ZRH,,3600000,,1,INDEX,STX USA LOW CARBON GR DL,00FS.Z,Europe/Zurich,CET,00FS.Z,ea2077a5-84d4-3ac4-acef-171fec64cd16
00OB.Z,ZRH,,3600000,,1,INDEX,ISTOXX EUROPEAN 100 NR DL,00OB.Z,Europe/Zurich,CET,00OB.Z,
018A.BE,BER,,3600000,,1,ETF,ISHS-CUR.HED.MSCI E.M.ETF,018A.BE,Europe/Berlin,CET,018A.BE,
01YV.Z,ZRH,,3600000,,1,INDEX,STXNDTMMD DKGR,01YV.Z,Europe/Zurich,CET,01YV.Z,
0213.KL,KLS,2019-09-25 02:00:00,28800000,,1,EQUITY,MTAG,0213.KL,Asia/Kuala_Lumpur,MYT,0213.KL,392622d9-c77e-3ebb-bb54-da983aab19c9
02F0.MU,MUN,,3600000,,1,ETF,FTGF-FT FAC.FX UETF ADL,02F0.MU,Europe/Berlin,CET,02F0.MU,
02JG.Z,ZRH,,3600000,,1,INDEX,ESTX50 GR USD,02JG.Z,Europe/Zurich,CET,02JG.Z,
02UG.Z,ZRH,,3600000,,1,INDEX,STX AUS.50 D.LEV.I.NR EO,02UG.Z,Europe/Zurich,CET,02UG.Z,
030050.TW,TAI,,28800000,,1,EQUITY,,030050.TW,Asia/Taipei,CST,030050.TW,
030658.TW,TAI,,28800000,,1,EQUITY,,030658.TW,Asia/Taipei,CST,030658.TW,
030852.TW,TAI,,28800000,,1,EQUITY,,030852.TW,Asia/Taipei,CST,030852.TW,
031350.TW,TAI,,28800000,,1,EQUITY,,031350.TW,Asia/Taipei,CST,031350.TW,
031366.TW,TAI,,28800000,,1,EQUITY,,031366.TW,Asia/Taipei,CST,031366.TW,
031964.TW,TAI,,28800000,,1,EQUITY,,031964.TW,Asia/Taipei,CST,031964.TW,
032077.TW,TAI,,28800000,,1,EQUITY,,032077.TW,Asia/Taipei,CST,032077.TW,
039020.KQ,KOE,2000-05-08 01:00:00,32400000,"Eagon Holdings Co.,Ltd",1,EQUITY,EAGON HOLDINGS,039020.KQ,Asia/Seoul,KST,039020.KQ,b506cd0a-5f11-3fb5-b43d-37b6bd7f2928
040E.Z,ZRH,,3600000,,1,INDEX,STXG18XAU GR EUR,040E.Z,Europe/Zurich,CET,040E.Z,
0420.HK,HKG,2000-01-04 01:30:00,28800000,Fountain Set (Holdings) Limited,1,EQUITY,FOUNTAIN SET,0420.HK,Asia/Hong_Kong,HKT,0420.HK,d2534dc8-1efc-3211-89d3-51b2287b1682
04460P.TW,TAI,,28800000,,1,EQUITY,,04460P.TW,Asia/Taipei,CST,04460P.TW,
04653P.TW,TAI,,28800000,,1,EQUITY,,04653P.TW,Asia/Taipei,CST,04653P.TW,27fdb3f9-732a-30ac-bc93-8252085903a1
04EW.Z,ZRH,,3600000,,1,INDEX,STXE6 NR GBP,04EW.Z,Europe/Zurich,CET,04EW.Z,
04RC.Z,ZRH,,3600000,,1,INDEX,ESTX50 NR CAD,04RC.Z,Europe/Zurich,CET,04RC.Z,
05I9.Z,ZRH,,3600000,,1,INDEX,EURO STO.E.X EX NP.NR USD,05I9.Z,Europe/Zurich,CET,05I9.Z,
06692P.TW,TAI,,28800000,,1,EQUITY,,06692P.TW,Asia/Taipei,CST,06692P.TW,
074574.TW,TAI,,28800000,,1,EQUITY,,074574.TW,Asia/Taipei,CST,074574.TW,ce3e76ee-fce6-39cf-a3f6-2ae67d877e69
07600P.TW,TAI,,28800000,,1,EQUITY,,07600P.TW,Asia/Taipei,CST,07600P.TW,c785433e-c27e-35ba-b229-df42b7df36cc
076258.TW,TAI,,28800000,,1,EQUITY,,076258.TW,Asia/Taipei,CST,076258.TW,
078645.TW,TAI,,28800000,,1,EQUITY,,078645.TW,Asia/Taipei,CST,078645.TW,
079254.TW,TAI,,28800000,,1,EQUITY,,079254.TW,Asia/Taipei,CST,079254.TW,
079388.TW,TAI,,28800000,,1,EQUITY,,079388.TW,Asia/Taipei,CST,079388.TW,
07AP.Z,ZRH,,3600000,,1,INDEX,STX DEV. MK. 150 PR DL,07AP.Z,Europe/Zurich,CET,07AP.Z,
080224.TW,TAI,,28800000,,1,EQUITY,,080224.TW,Asia/Taipei,CST,080224.TW,
081510.TW,TAI,,28800000,,1,EQUITY,,081510.TW,Asia/Taipei,CST,081510.TW,03a290fa-2fd4-334b-9974-6d8cde6823d2
0818.HK,HKG,2005-09-30 02:30:00,28800000,Hi Sun Technology (China) Limited,1,EQUITY,HI SUN TECH,0818.HK,Asia/Hong_Kong,HKT,0818.HK,001583cc-42b8-3a6a-b01e-97c67dc0c621
082727.TW,TAI,,28800000,,1,EQUITY,,082727.TW,Asia/Taipei,CST,082727.TW,
083180.TW,TAI,,28800000,,1,EQUITY,,083180.TW,Asia/Taipei,CST,083180.TW,
083243.TW,TAI,,28800000,,1,EQUITY,,083243.TW,Asia/Taipei,CST,083243.TW,
083318.TW,TAI,,28800000,,1,EQUITY,,083318.TW,Asia/Taipei,CST,083318.TW,
083393.TW,TAI,,28800000,,1,EQUITY,,083393.TW,Asia/Taipei,CST,083393.TW,
084625.TW,TAI,,28800000,,1,EQUITY,,084625.TW,Asia/Taipei,CST,084625.TW,
084840.TW,TAI,,28800000,,1,EQUITY,,084840.TW,Asia/Taipei,CST,084840.TW,
085630.TW,TAI,,28800000,,1,EQUITY,,085630.TW,Asia/Taipei,CST,085630.TW,
086158.TW,TAI,,28800000,,1,EQUITY,,086158.TW,Asia/Taipei,CST,086158.TW,
086514.TW,TAI,,28800000,,1,EQUITY,,086514.TW,Asia/Taipei,CST,086514.TW,
08704P.TW,TAI,,28800000,,1,EQUITY,,08704P.TW,Asia/Taipei,CST,08704P.TW,
087298.TW,TAI,,28800000,,1,EQUITY,,087298.TW,Asia/Taipei,CST,087298.TW,
088499.TW,TAI,,28800000,,1,EQUITY,,088499.TW,Asia/Taipei,CST,088499.TW,
089304.TW,TAI,,28800000,,1,EQUITY,,089304.TW,Asia/Taipei,CST,089304.TW,
089363.TW,TAI,,28800000,,1,EQUITY,,089363.TW,Asia/Taipei,CST,089363.TW,
089551.TW,TAI,,28800000,,1,EQUITY,,089551.TW,Asia/Taipei,CST,089551.TW,
08Q5.Z,ZRH,,3600000,,1,INDEX,STX AU 150 UN GR EUR,08Q5.Z,Europe/Zurich,CET,08Q5.Z,
08W.F,FRA,2011-12-02 07:00:00,3600000,Solis Minerals Ltd.,1,EQUITY,SOLIS MINERALS LTD.,08W.F,Europe/Berlin,CET,08W.F,e7efd29e-8af3-30b6-a179-dc891a0a7a39
0A5V.IL,IOB,2015-03-17 08:00:00,0,Viatris Inc.,1,EQUITY,VIATRIS INC VIATRIS ORD SHS,0A5V.IL,Europe/London,GMT,0A5V.IL,3446c13e-0e47-33cf-ace0-b31ece92d222
0A77.L,LSE,,0,Cigna Corporation,1,EQUITY,CIGNA CORP CIGNA ORD SHS,0A77.L,Europe/London,GMT,0A77.L,c36a628e-05e9-398d-b455-673a7bc9c46e
0A7T.L,LSE,,0,"Revlon, Inc.",1,EQUITY,REVLON INC REVLON ORD SHS CLASS,0A7T.L,Europe/London,GMT,0A7T.L,5b936ffa-40b8-373c-9810-6bd5efcd1704
0C8.F,FRA,2014-09-26 07:00:00,3600000,"Catalent, Inc.",1,EQUITY,"CATALENT INC.  DL-,01",0C8.F,Europe/Berlin,CET,0C8.F,cae17997-3339-315a-b05a-c325338da0cc
0CNM.Z,ZRH,,3600000,,1,INDEX,STX UK 50 PR EUR,0CNM.Z,Europe/Zurich,CET,0CNM.Z,
0GWY.Z,ZRH,,3600000,,1,INDEX,STXE SM.200 M.H.NR EUR,0GWY.Z,Europe/Zurich,CET,0GWY.Z,3bc86df1-95e1-3d53-92aa-4892b2e49834
0HE3.L,LSE,2018-01-19 08:00:00,0,UBS ETF - MSCI USA Socially Responsible UCITS ETF,1,EQUITY,UBS ETF-MSCI USA SOCIALLY RESPO,0HE3.L,Europe/London,GMT,0HE3.L,54708afa-1e06-33c2-9d0b-57edd5e4eb3f
0HJR.L,LSE,,0,Avery Dennison Corporation,1,EQUITY,AVERY DENNISON CORP AVERY DENNI,0HJR.L,Europe/London,GMT,0HJR.L,039f044a-471a-3cd2-9321-948912731dd0
0HR.F,FRA,2021-05-04 07:00:00,3600000,,1,EQUITY,"EVERFUEL A/S  DK -,10",0HR.F,Europe/Berlin,CET,0HR.F,b7cb7975-ddd4-3d4c-bbc5-0be56cb18eaa
0I3.F,FRA,2019-01-07 07:00:00,3600000,"Axonics, Inc.",1,EQUITY,AXONICS INC.,0I3.F,Europe/Berlin,CET,0I3.F,fa780e02-ea3f-3a4f-8907-e068507255fe
0I8W.L,LSE,,0,Devon Energy Corporation,1,EQUITY,DEVON ENERGY CORP DEVON ENERGY ,0I8W.L,Europe/London,GMT,0I8W.L,83f3d5ce-e570-3366-945f-6b6b857cc07f
0J11.DE,GER,,3600000,,1,INDEX,IN.IS.MSCI EU.VA.F.ETF YN,0J11.DE,Europe/Berlin,CET,0J11.DE,
0J7H.Z,ZRH,,3600000,,1,INDEX,ESTX 50 EX IE PR USD,0J7H.Z,Europe/Zurich,CET,0J7H.Z,
0JS.DU,DUS,2020-02-03 07:00:00,3600000,,1,EQUITY,MEDMEN ENTERPRISES,0JS.DU,Europe/Berlin,CET,0JS.DU,b2d503e5-c221-3186-a330-2e30749d8b3c
0L77.L,LSE,,0,"Skyworks Solutions, Inc.",1,EQUITY,SKYWORKS SOLUTIONS INC SKYWORKS,0L77.L,Europe/London,GMT,0L77.L,5086756f-6c90-3def-b2c5-5d2cdebb9e37
0P00000AWD,,,,,1,NONE,,0P00000AWD,,,0P00000AWD,640cc4e4-aa6b-3d19-b9ec-57e7639e61f8
0P00000B32.F,,,,,1,NONE,,0P00000B32.F,,,0P00000B32.F,2de09046-60e2-311b-a6bf-10ca1cafdc8a
0P00000C9F.L,LSE,2018-01-02 08:00:00,0,Jupiter UK Growth Fund L Inc,1,MUTUALFUND,Jupiter UK Growth Fund L Inc,0P00000C9F.L,Europe/London,GMT,0P00000C9F.L,5c9829ad-0ca0-3308-9bcd-7a4131072c5b
0P00000CD4.SW,,,,,1,NONE,,0P00000CD4.SW,,,0P00000CD4.SW,82c209a4-cc28-3d5f-b5e1-9da3e23e99df
0P00000CNF.F,FRA,2018-01-01 07:00:00,3600000,Sabadell Fondtesoro Largo Plazo FI,1,MUTUALFUND,Sabadell Fondtesoro Largo Plazo,0P00000CNF.F,Europe/Berlin,CET,0P00000CNF.F,c93941d4-30a2-3e18-86a7-d71336830e05
0P00000EGJ.F,FRA,2018-01-02 07:00:00,3600000,BerolinaRent Deka,1,MUTUALFUND,BerolinaRent Deka,0P00000EGJ.F,Europe/Berlin,CET,0P00000EGJ.F,2fbeb92d-6a39-3852-a288-ba81abee5eb4
0P00000EK4.F,FRA,2018-01-02 07:00:00,3600000,Deka-Technologie TF,1,MUTUALFUND,Deka-Technologie TF,0P00000EK4.F,Europe/Berlin,CET,0P00000EK4.F,07d9c47e-cf6f-3487-9475-1894f57253b6
0P00000EXV.F,FRA,2018-01-02 07:00:00,3600000,Agipi Ambition,1,MUTUALFUND,Agipi Ambition,0P00000EXV.F,Europe/Berlin,CET,0P00000EXV.F,173401cc-1c37-341d-a3c1-306e036cde58
0P00000FB5.F,FRA,2018-01-02 07:00:00,3600000,Bankinter Capital 3 FI,1,MUTUALFUND,Bankinter Capital 3 FI,0P00000FB5.F,Europe/Berlin,CET,0P00000FB5.F,4fa81efb-b3d5-3162-913d-67153bd8b9c0
0P00000FWQ.L,LSE,2018-01-02 08:00:00,0,Invesco Distribution Fund (UK) (Inc),1,MUTUALFUND,Invesco Distribution Fund (UK) ,0P00000FWQ.L,Europe/London,GMT,0P00000FWQ.L,4c089256-f0ef-3080-9e3c-ff35ab2d320e
0P00000G2L.F,FRA,2018-01-02 07:00:00,3600000,AIS Mandarine Entrepreneurs P,1,MUTUALFUND,AIS Mandarine Entrepreneurs P,0P00000G2L.F,Europe/Berlin,CET,0P00000G2L.F,8556fd95-10eb-3f93-900a-aa668548cb05
0P00000HTN.F,,,,,1,NONE,,0P00000HTN.F,,,0P00000HTN.F,07979b60-02e4-3a21-9f05-e8ddcd9cb8fc
0P00000ITM,PNK,2019-01-02 14:30:00,-18000000,,1,MUTUALFUND,Janus Henderson Capital Funds p,0P00000ITM,America/New_York,EST,0P00000ITM,d7e10dd3-dfe5-3287-b56e-bdd852849f2d
0P00000K1S.F,,,,,1,NONE,,0P00000K1S.F,,,0P00000K1S.F,511a8610-32d6-3a03-99b7-e2c48cfc328b
0P00000K47.SW,,,,,1,NONE,,0P00000K47.SW,,,0P00000K47.SW,ab275c96-a354-35ed-9d1d-7714713205d7
0P00000KCW.F,,,,,1,NONE,,0P00000KCW.F,,,0P00000KCW.F,27b89a15-55ed-3d56-b735-d14934f8f6a5
0P00000MID.F,,,,,1,NONE,,0P00000MID.F,,,0P00000MID.F,eb808130-4b97-3ac8-a0fb-fba226e2bb84
0P00000MMB,PNK,2019-01-02 14:30:00,-18000000,,1,MUTUALFUND,Merian Global Dynamic Bond Fund,0P00000MMB,America/New_York,EST,0P00000MMB,e0fb065b-ea96-3c2d-94b2-72c9dc6bfcc5
0P00000NT2.F,,,,,1,NONE,,0P00000NT2.F,,,0P00000NT2.F,97c7eff7-107a-3bbe-8d4f-3feb32b31fce
0P00000OCV.IR,,,,,1,NONE,,0P00000OCV.IR,,,0P00000OCV.IR,d97343c3-e608-3083-9ae9-360149348245
0P00000PQH.F,FRA,2018-01-01 07:00:00,3600000,BNP Paribas Cash Invest Classic,1,MUTUALFUND,BNP Paribas Cash Invest Classic,0P00000PQH.F,Europe/Berlin,CET,0P00000PQH.F,9a2f9869-ce2c-34ee-b75b-425e774a7810
0P00000Q0L.F,FRA,2018-01-02 07:00:00,3600000,LBPAM ISR Profil 15 C,1,MUTUALFUND,LBPAM ISR Profil 15 C,0P00000Q0L.F,Europe/Berlin,CET,0P00000Q0L.F,203e769b-19d1-3fb1-92a4-79cc2c9bd551
0P00000QTZ.F,FRA,2018-01-02 07:00:00,3600000,HSBC Actions Monde AC,1,MUTUALFUND,HSBC Actions Monde AC,0P00000QTZ.F,Europe/Berlin,CET,0P00000QTZ.F,33c5fa06-b56d-3f5f-957a-ae3266d4e09e
0P00000R16.L,LSE,2018-01-02 08:00:00,0,Threadneedle Monthly Extra Income Fund Retail Income GBP,1,MUTUALFUND,Threadneedle Monthly Extra Inco,0P00000R16.L,Europe/London,GMT,0P00000R16.L,f78666a8-4253-35f7-a958-20b64b1f788c
0P00000RK9.L,LSE,2018-01-02 08:00:00,0,Aegon Ethical Equity Fund GBP B Acc,1,MUTUALFUND,Aegon Ethical Equity Fund GBP B,0P00000RK9.L,Europe/London,GMT,0P00000RK9.L,a2df54fb-89e6-3d38-8b94-6204b842638a
0P00000RVK.T,,,,,1,NONE,,0P00000RVK.T,,,0P00000RVK.T,00aa3fd8-157a-3158-b159-ec01b808f64c
0P00000S33.F,,,,,1,NONE,,0P00000S33.F,,,0P00000S33.F,9d52bc96-e0e9-343d-bfcc-0b162b51041b
0P00000TQB.F,FRA,2019-01-02 07:00:00,3600000,Investitori America,1,MUTUALFUND,Investitori America,0P00000TQB.F,Europe/Berlin,CET,0P00000TQB.F,0b6ed7b5-8be1-3acc-948a-b36f887a0c5b
0P00000TQK,,,,,1,NONE,,0P00000TQK,,,0P00000TQK,fabb9254-254d-358c-817d-a7670a16cd3a
0P00000U4R.F,FRA,2019-01-02 07:00:00,3600000,Eurizon Azioni Internazionali,1,MUTUALFUND,Eurizon Azioni Internazionali,0P00000U4R.F,Europe/Berlin,CET,0P00000U4R.F,0c52096c-2537-3324-b3ad-1f115ad1fb77
0P00000URJ.F,,,,,1,NONE,,0P00000URJ.F,,,0P00000URJ.F,b39cd544-fa46-3d13-9a72-8171526c66e6
0P00000WSW.F,FRA,2018-01-01 07:00:00,3600000,SA Nostra 6 PP,1,MUTUALFUND,SA Nostra Equilibrio 50/50 PP,0P00000WSW.F,Europe/Berlin,CET,0P00000WSW.F,9f8fe208-1a16-3cb3-b4b7-dc24b0bd176b
0P00000XIU.F,FRA,2018-01-02 07:00:00,3600000,Naranja Ibex 35 PP,1,MUTUALFUND,Naranja Ibex 35 PP,0P00000XIU.F,Europe/Berlin,CET,0P00000XIU.F,8cafe069-8563-3748-b8d3-9223c43d595b
0P00000YGM.CO,,,,,1,NONE,,0P00000YGM.CO,,,0P00000YGM.CO,3fffb737-bead-36b5-822c-4b9d7977f296
0P000010DW,,,,,1,NONE,,0P000010DW,,,0P000010DW,fb01d9eb-6d99-387e-b983-247c2e0554c2
0P000017SR.F,,,,,1,NONE,,0P000017SR.F,,,0P000017SR.F,e89fe2e9-8b4e-3009-b141-64917f16efd0
0P0000184F.F,,,,,1,NONE,,0P0000184F.F,,,0P0000184F.F,9d45ff7a-437f-3301-92ed-49b974cb1957
0P00001C8O.F,,,,,1,NONE,,0P00001C8O.F,,,0P00001C8O.F,15b1b66a-adab-3eb1-b611-63c90fca3b0d
0P00001CQQ.F,FRA,2018-01-02 07:00:00,3600000,Afer Patrimoine,1,MUTUALFUND,Afer Patrimoine,0P00001CQQ.F,Europe/Berlin,CET,0P00001CQQ.F,4d60ef81-aefa-3015-8c19-8a01afe1e492
