symbol,exchange,firstTradeDateEpochUtc,gmtOffSetMilliseconds,longName,maxAge,quoteType,shortName,symbol,timeZoneFullName,timeZoneShortName,underlyingSymbol,uuid
TASAD1F2.MX,YHD,2013-06-27 13:30:00,-18000000,+TASAD1 F2,1,MUTUALFUND,+TASAD1 F2,TASAD1F2.MX,America/New_York,EST,TASAD1F2.MX,937ed60e-f8d4-3582-8e54-634c3a6efc3c
000008.SZ,SHZ,1992-05-07 01:30:00,28800000,"China High-Speed Railway Technology Co., Ltd.",1,EQUITY,CHINA HIGH-SPEED R,000008.SZ,Asia/Shanghai,CST,000008.SZ,ecb75f8f-dfb5-3391-b027-b64c975e51d8
000139.SS,SHH,,28800000,,1,INDEX,SSE Convertible Bond Index,000139.SS,Asia/Shanghai,CST,000139.SS,
000325.KS,KSC,2000-01-04 00:00:00,32400000,"NOROO Holdings Co., Ltd.",1,EQUITY,NorooHoldings(1P),000325.KS,Asia/Seoul,KST,000325.KS,3d7affc7-b4bb-36a8-912e-587a21cda137
002173.SZ,SHZ,2007-09-25 01:30:00,28800000,"Innovation Medical Management Co., Ltd.",1,EQUITY,INNOVATION MEDICAL,002173.SZ,Asia/Shanghai,CST,002173.SZ,3992e968-e438-3d72-94b1-dfbea70fa6ba
002429.SZ,SHZ,2010-06-10 01:30:00,28800000,"Shenzhen MTC Co., Ltd.",1,EQUITY,SHENZHEN MTC CO.LT,002429.SZ,Asia/Shanghai,CST,002429.SZ,843a84a2-dc86-3787-a3cb-887ec6c7cae0
002915.SZ,SHZ,2017-12-05 01:30:00,28800000,"Zhejiang Zhongxin Fluoride Materials Co.,Ltd",1,EQUITY,ZHEJIANG ZHONGXIN,002915.SZ,Asia/Shanghai,CST,002915.SZ,b2efd6c5-8d52-3d10-b904-5a647648a35d
003780.KS,KSC,2000-01-04 00:00:00,32400000,"Chin Yang Industry Co., Ltd.",1,EQUITY,Chinyang Industry,003780.KS,Asia/Seoul,KST,003780.KS,f1eb0bb4-8c85-325e-ac3f-8388f0d8a0a5
00781B.TWO,TWO,2019-02-25 01:00:00,28800000,Cathay 15+ Year Technology Bond Select ETF,1,EQUITY,CATHAY SECS INV TRUST CO LTD,00781B.TWO,Asia/Taipei,CST,00781B.TWO,f6db2e62-acc2-384e-85a6-83d2c8552856
0087.HK,HKG,2000-01-04 01:30:00,28800000,Swire Pacific Limited,1,EQUITY,SWIRE PACIFIC B,0087.HK,Asia/Hong_Kong,HKT,0087.HK,303235f8-29f3-3757-9ea8-3d9c8411af66
00HF.Z,ZRH,,3600000,,1,INDEX,STX GL.1800 EX EOZE.NR.EO,00HF.Z,Europe/Zurich,CET,00HF.Z,
