symbol,exchange,firstTradeDateEpochUtc,gmtOffSetMilliseconds,longName,maxAge,quoteType,shortName,symbol,timeZoneFullName,timeZoneShortName,underlyingSymbol,uuid
000007.SZ,SHZ,1992-04-13 02:30:00,28800000,"Shenzhen Quanxinhao Co., Ltd.",1,EQUITY,SHENZHEN QUANXINHA,000007.SZ,Asia/Shanghai,CST,000007.SZ,61b664fa-2d49-3908-aaee-fea0c416e58d
000017.SZ,SHZ,1992-03-31 02:30:00,28800000,Shenzhen China Bicycle Company (Holdings) Limited,1,EQUITY,SHENZHEN CHINA BIC,000017.SZ,Asia/Shanghai,CST,000017.SZ,f0744b02-6bb7-3b78-8e11-cf33aa98e115
000878.SZ,SHZ,1998-06-02 02:30:00,28800000,"Yunnan Copper Co., Ltd.",1,EQUITY,YUNNAN COPPER CO.,000878.SZ,Asia/Shanghai,CST,000878.SZ,dd6137e6-9198-31a6-be00-509a8df0cfee
001298.SZ,SHZ,2022-10-31 01:30:00,28800000,,1,EQUITY,SHENZHEN BEST OF B,001298.SZ,Asia/Shanghai,CST,001298.SZ,d8eb6eba-8feb-3ad7-a816-c44d41b5284b
002263.SZ,SHZ,2008-07-21 02:30:00,28800000,Zhejiang Great Southeast Corp.Ltd,1,EQUITY,Z/J GREAT S/E CO L,002263.SZ,Asia/Shanghai,CST,002263.SZ,c0ba4aa0-9225-3a0b-9aa6-9b03fc4b8c5e
002327.SZ,SHZ,2009-12-30 01:30:00,28800000,"Shenzhen Fuanna Bedding and Furnishing Co.,Ltd",1,EQUITY,SHENZHEN FUANNA BE,002327.SZ,Asia/Shanghai,CST,002327.SZ,3b2c2384-28c2-3966-89ea-04d4264d0a32
003001.SZ,SHZ,2020-10-13 02:30:00,28800000,"Zhongyan Technology Co., Ltd.",1,EQUITY,ZHONGYAN TECHNOLOG,003001.SZ,Asia/Shanghai,CST,003001.SZ,89dd1106-0e8d-3a83-977c-3dd77308b841
003690.KS,KSC,2005-09-29 01:00:00,32400000,Korean Reinsurance Company,1,EQUITY,Korean Re,003690.KS,Asia/Seoul,KST,003690.KS,dd09318e-4c0f-3478-a1d8-f5d254811a14
005070.KS,KSC,2005-09-29 01:00:00,32400000,"Cosmo Advanced Materials & Technology Co., Ltd.",1,EQUITY,CosmoAM&T,005070.KS,Asia/Seoul,KST,005070.KS,a03d0c40-82e2-30d4-9079-357dbb5f84c5
00661.TW,TAI,2016-06-01 02:00:00,28800000,Yuanta Nikkei 225 ETF,1,ETF,YUANTA SECURITIES INV TRUST CO ,00661.TW,Asia/Taipei,CST,00661.TW,2b2cabc1-2c6b-33bc-a6e7-8ec58793508c
00786B.TWO,TWO,2019-03-22 01:00:00,28800000,Yuanta US 10+ Investment Grade Bank Bond ETF,1,EQUITY,YUANTA SECURITIES INV TRUST CO ,00786B.TWO,Asia/Taipei,CST,00786B.TWO,5f182fae-4a7e-384a-ab69-78b3d825fa0c
01UK.Z,ZRH,,3600000,,1,INDEX,STX NA SEL.DIV.40 GR EUR,01UK.Z,Europe/Zurich,CET,01UK.Z,97dd3b4b-ae65-3029-b37b-b7570704f062
01YZ.Z,ZRH,,3600000,,1,INDEX,STXAP6BAM PR EUR,01YZ.Z,Europe/Zurich,CET,01YZ.Z,
025F.BE,BER,,3600000,,1,ETF,VANGUARD SM.-C.V.IDX ETF,025F.BE,Europe/Berlin,CET,025F.BE,
031007.TW,TAI,,28800000,,1,EQUITY,,031007.TW,Asia/Taipei,CST,031007.TW,
031248.TW,TAI,,28800000,,1,EQUITY,,031248.TW,Asia/Taipei,CST,031248.TW,
031712.TW,TAI,,28800000,,1,EQUITY,,031712.TW,Asia/Taipei,CST,031712.TW,
032086.TW,TAI,,28800000,,1,EQUITY,,032086.TW,Asia/Taipei,CST,032086.TW,
03214P.TW,TAI,,28800000,,1,EQUITY,,03214P.TW,Asia/Taipei,CST,03214P.TW,
032601.TW,TAI,,28800000,,1,EQUITY,,032601.TW,Asia/Taipei,CST,032601.TW,
032623.TW,TAI,,28800000,,1,EQUITY,,032623.TW,Asia/Taipei,CST,032623.TW,
032685.KQ,KOE,2007-12-28 00:00:00,32400000,"Softcen Co., Ltd.",1,EQUITY,SOFTCEN(1P),032685.KQ,Asia/Seoul,KST,032685.KQ,ebc1bfd4-b7fc-3114-acff-d9364910297a
034020.KS,KSC,2000-11-01 00:00:00,32400000,"Doosan Enerbility Co., Ltd.",1,EQUITY,Doosan Enerbility,034020.KS,Asia/Seoul,KST,034020.KS,948b9b4b-0336-3df4-a05d-cf47d60c9f3c
03892P.TW,TAI,,28800000,,1,EQUITY,,03892P.TW,Asia/Taipei,CST,03892P.TW,
03AQ.BE,BER,,3600000,,1,ETF,ALPS ETF-DISRUPT.TECHSETF,03AQ.BE,Europe/Berlin,CET,03AQ.BE,
04059P.TW,TAI,,28800000,,1,EQUITY,,04059P.TW,Asia/Taipei,CST,04059P.TW,
04114P.TW,TAI,,28800000,,1,EQUITY,,04114P.TW,Asia/Taipei,CST,04114P.TW,
04492P.TW,TAI,,28800000,,1,EQUITY,,04492P.TW,Asia/Taipei,CST,04492P.TW,
045340.KQ,KOE,2002-07-22 01:00:00,32400000,Total Soft Bank Ltd.,1,EQUITY,TSB,045340.KQ,Asia/Seoul,KST,045340.KQ,723d253f-d8eb-3c4e-b031-7b97f7dbfb9e
04652P.TW,TAI,,28800000,,1,EQUITY,,04652P.TW,Asia/Taipei,CST,04652P.TW,da49d889-6690-371b-8ead-88177dd2d3d6
05382P.TW,TAI,,28800000,,1,EQUITY,,05382P.TW,Asia/Taipei,CST,05382P.TW,
05UA.Z,ZRH,,3600000,,1,INDEX,STX E.ESG SLS 30 GR EUR,05UA.Z,Europe/Zurich,CET,05UA.Z,
076215.TW,TAI,,28800000,,1,EQUITY,,076215.TW,Asia/Taipei,CST,076215.TW,
07814P.TW,TAI,,28800000,,1,EQUITY,,07814P.TW,Asia/Taipei,CST,07814P.TW,
078969.TW,TAI,,28800000,,1,EQUITY,,078969.TW,Asia/Taipei,CST,078969.TW,
0800.HK,HKG,2008-06-12 02:30:00,28800000,A8 New Media Group Limited,1,EQUITY,A8 NEW MEDIA,0800.HK,Asia/Hong_Kong,HKT,0800.HK,7b9e0632-349f-39de-9e88-0cd4324832a3
083319.TW,TAI,,28800000,,1,EQUITY,,083319.TW,Asia/Taipei,CST,083319.TW,
083886.TW,TAI,,28800000,,1,EQUITY,,083886.TW,Asia/Taipei,CST,083886.TW,
084200.TW,TAI,,28800000,,1,EQUITY,,084200.TW,Asia/Taipei,CST,084200.TW,
084611.TW,TAI,,28800000,,1,EQUITY,,084611.TW,Asia/Taipei,CST,084611.TW,
085901.TW,TAI,,28800000,,1,EQUITY,,085901.TW,Asia/Taipei,CST,085901.TW,128665af-533f-33a9-a2a9-09c8212ab4bb
0866.HK,HKG,2009-07-03 02:30:00,28800000,China Qinfa Group Limited,1,EQUITY,CHINA QINFA,0866.HK,Asia/Hong_Kong,HKT,0866.HK,5b38c848-284c-3fab-920c-e2409ccc0473
087260.TW,TAI,,28800000,,1,EQUITY,,087260.TW,Asia/Taipei,CST,087260.TW,
087293.TW,TAI,,28800000,,1,EQUITY,,087293.TW,Asia/Taipei,CST,087293.TW,
087374.TW,TAI,,28800000,,1,EQUITY,,087374.TW,Asia/Taipei,CST,087374.TW,
