symbol,exchange,firstTradeDateEpochUtc,gmtOffSetMilliseconds,longName,maxAge,messageBoardId,quoteType,shortName,symbol,timeZoneFullName,timeZoneShortName,underlyingSymbol,uuid
030552.TW,TAI,,28800000,,1,,EQUITY,,030552.TW,Asia/Taipei,CST,030552.TW,000ddde5-e17f-383f-9bc3-d1f803a8871d
030686.TW,TAI,,28800000,,1,,EQUITY,,030686.TW,Asia/Taipei,CST,030686.TW,
030734.TW,TAI,,28800000,,1,,EQUITY,,030734.TW,Asia/Taipei,CST,030734.TW,
03105U.TW,TAI,,28800000,,1,,EQUITY,,03105U.TW,Asia/Taipei,CST,03105U.TW,
031121.TW,TAI,,28800000,,1,,EQUITY,,031121.TW,Asia/Taipei,CST,031121.TW,
031310.KQ,KOE,2007-12-28 00:00:00,32400000,Eyesvision Corp.,1,,EQUITY,EYESVISION,031310.KQ,Asia/Seoul,KST,031310.KQ,2d145677-9072-3c52-86b4-3b4b585fc326
031474.TW,TAI,,28800000,,1,,EQUITY,,031474.TW,Asia/Taipei,CST,031474.TW,
031509.TW,TAI,,28800000,,1,,EQUITY,,031509.TW,Asia/Taipei,CST,031509.TW,
031619.TW,TAI,,28800000,,1,,EQUITY,,031619.TW,Asia/Taipei,CST,031619.TW,
031656.TW,TAI,,28800000,,1,,EQUITY,,031656.TW,Asia/Taipei,CST,031656.TW,
031847.TW,TAI,,28800000,,1,,EQUITY,,031847.TW,Asia/Taipei,CST,031847.TW,
031896.TW,TAI,,28800000,,1,,EQUITY,,031896.TW,Asia/Taipei,CST,031896.TW,
032130.TW,TAI,,28800000,,1,,EQUITY,,032130.TW,Asia/Taipei,CST,032130.TW,
032753.TW,TAI,,28800000,,1,,EQUITY,,032753.TW,Asia/Taipei,CST,032753.TW,
032762.TW,TAI,,28800000,,1,,EQUITY,,032762.TW,Asia/Taipei,CST,032762.TW,
03486P.TW,TAI,,28800000,,1,,EQUITY,,03486P.TW,Asia/Taipei,CST,03486P.TW,
04006P.TW,TAI,,28800000,,1,,EQUITY,,04006P.TW,Asia/Taipei,CST,04006P.TW,
041960.KQ,KOE,2001-10-31 00:00:00,32400000,"Komipharm International Co., Ltd.",1,,EQUITY,KOMIPHARM,041960.KQ,Asia/Seoul,KST,041960.KQ,6276cd53-331a-353c-ad3c-749d8ca1a62a
0458.HK,HKG,2000-01-04 01:30:00,28800000,Tristate Holdings Limited,1,finmb_875640,EQUITY,TRISTATE HOLD,0458.HK,Asia/Hong_Kong,HKT,0458.HK,1545ea52-076f-33bd-9af5-f1b84421ebb7
0475.HK,HKG,2007-04-17 01:30:00,28800000,Central Development Holdings Limited,1,finmb_33510139,EQUITY,CENTRAL DEV H,0475.HK,Asia/Hong_Kong,HKT,0475.HK,8a06b1b5-b140-39ad-bf05-b4ec8028e042
0482.HK,HKG,2005-05-12 01:30:00,28800000,Sandmartin International Holdings Limited,1,finmb_22227254,EQUITY,SANDMARTIN INTL,0482.HK,Asia/Hong_Kong,HKT,0482.HK,093a0b4d-ef9b-3676-84c2-6714386f3085
04D0.Z,ZRH,,3600000,STXNDSM GR EUR,1,,INDEX,STXNDSM GR EUR,04D0.Z,Europe/Zurich,CET,04D0.Z,4dd5c794-8611-32e9-80fd-9594377208e5
04EY.Z,ZRH,,3600000,STXE6 PR JPY,1,,INDEX,STXE6 PR JPY,04EY.Z,Europe/Zurich,CET,04EY.Z,63c0d3f7-db20-3f9f-a077-bd553138dc27
