symbol,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,gmtOffSetMilliseconds,maxAge
22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF,Quote not found for ticker symbol: 22PPSPOF
IM.F,YHD,MUTUALFUND,IM.F,IM.F,,,,America/New_York,EST,,-18000000,1
031926.TW,TAI,,28800000,,1,EQUITY,,031926.TW,Asia/Taipei,CST,031926.TW,
03252P.TW,TAI,,28800000,,1,EQUITY,,03252P.TW,Asia/Taipei,CST,03252P.TW,
03296P.TW,TAI,,28800000,,1,EQUITY,,03296P.TW,Asia/Taipei,CST,03296P.TW,
033230.KQ,KOE,2000-03-01 00:00:00,32400000,"Insung Information Co., Ltd",1,EQUITY,INSUNG,033230.KQ,Asia/Seoul,KST,033230.KQ,6c0232c1-c850-3bb0-a4fa-a7fb0598f07c
03642P.TW,TAI,,28800000,,1,EQUITY,,03642P.TW,Asia/Taipei,CST,03642P.TW,
0365.HK,HKG,2000-10-17 01:30:00,28800000,Sino ICT Holdings Limited,1,EQUITY,SINO ICT,0365.HK,Asia/Hong_Kong,HKT,0365.HK,a2ac61df-ee17-38b6-b047-85f0f4be1975
03L7.Z,ZRH,,3600000,,1,INDEX,STXNGTM PR USD,03L7.Z,Europe/Zurich,CET,03L7.Z,
03LN.Z,ZRH,,3600000,,1,INDEX,STXMYTM NR EUR,03LN.Z,Europe/Zurich,CET,03LN.Z,
0413.HK,HKG,2001-09-06 01:30:00,28800000,South China Holdings Company Limited,1,EQUITY,SC HOLDINGS,0413.HK,Asia/Hong_Kong,HKT,0413.HK,077aefc3-cba9-3a48-a326-f29f6e537367
04748P.TW,TAI,,28800000,,1,EQUITY,,04748P.TW,Asia/Taipei,CST,04748P.TW,500dd62a-ebcb-3781-a520-4431d32937b7
04PS.Z,ZRH,,3600000,,1,INDEX,EURO ISTOXX 60 EW GR USD,04PS.Z,Europe/Zurich,CET,04PS.Z,
0655.HK,HKG,2000-01-04 01:30:00,28800000,Hongkong Chinese Limited,1,EQUITY,HK CHINESE LTD,0655.HK,Asia/Hong_Kong,HKT,0655.HK,aa95a211-0647-3728-976d-846afb1539d7
076620.TW,TAI,,28800000,,1,EQUITY,,076620.TW,Asia/Taipei,CST,076620.TW,
076707.TW,TAI,,28800000,,1,EQUITY,,076707.TW,Asia/Taipei,CST,076707.TW,
077D.Z,ZRH,,3600000,,1,INDEX,STXUS90 USD HEACARENR,077D.Z,Europe/Zurich,CET,077D.Z,
077H.Z,ZRH,,3600000,,1,INDEX,STXUS90 EUR INDUSNR,077H.Z,Europe/Zurich,CET,077H.Z,
079701.TW,TAI,,28800000,,1,EQUITY,,079701.TW,Asia/Taipei,CST,079701.TW,
080407.TW,TAI,,28800000,,1,EQUITY,,080407.TW,Asia/Taipei,CST,080407.TW,
080500.TW,TAI,,28800000,,1,EQUITY,,080500.TW,Asia/Taipei,CST,080500.TW,
081062.TW,TAI,,28800000,,1,EQUITY,,081062.TW,Asia/Taipei,CST,081062.TW,dae1dd63-80fd-33c4-a0f5-f5c9eb928a32
083184.TW,TAI,,28800000,,1,EQUITY,,083184.TW,Asia/Taipei,CST,083184.TW,
083221.TW,TAI,,28800000,,1,EQUITY,,083221.TW,Asia/Taipei,CST,083221.TW,
08438P.TW,TAI,,28800000,,1,EQUITY,,08438P.TW,Asia/Taipei,CST,08438P.TW,
084439.TW,TAI,,28800000,,1,EQUITY,,084439.TW,Asia/Taipei,CST,084439.TW,
084492.TW,TAI,,28800000,,1,EQUITY,,084492.TW,Asia/Taipei,CST,084492.TW,
084591.TW,TAI,,28800000,,1,EQUITY,,084591.TW,Asia/Taipei,CST,084591.TW,
085054.TW,TAI,,28800000,,1,EQUITY,,085054.TW,Asia/Taipei,CST,085054.TW,
085584.TW,TAI,,28800000,,1,EQUITY,,085584.TW,Asia/Taipei,CST,085584.TW,
085864.TW,TAI,,28800000,,1,EQUITY,,085864.TW,Asia/Taipei,CST,085864.TW,
085891.TW,TAI,,28800000,,1,EQUITY,,085891.TW,Asia/Taipei,CST,085891.TW,
086129.TW,TAI,,28800000,,1,EQUITY,,086129.TW,Asia/Taipei,CST,086129.TW,
086599.TW,TAI,,28800000,,1,EQUITY,,086599.TW,Asia/Taipei,CST,086599.TW,
087159.TW,TAI,,28800000,,1,EQUITY,,087159.TW,Asia/Taipei,CST,087159.TW,
087287.TW,TAI,,28800000,,1,EQUITY,,087287.TW,Asia/Taipei,CST,087287.TW,
087296.TW,TAI,,28800000,,1,EQUITY,,087296.TW,Asia/Taipei,CST,087296.TW,
087754.TW,TAI,,28800000,,1,EQUITY,,087754.TW,Asia/Taipei,CST,087754.TW,
088169.TW,TAI,,28800000,,1,EQUITY,,088169.TW,Asia/Taipei,CST,088169.TW,dcefe2fa-09ac-3218-bd56-5a2e1aae4f47
088419.TW,TAI,,28800000,,1,EQUITY,,088419.TW,Asia/Taipei,CST,088419.TW,
08873P.TW,TAI,,28800000,,1,EQUITY,,08873P.TW,Asia/Taipei,CST,08873P.TW,
08B3.Z,ZRH,,3600000,,1,INDEX,STXCA240 USD MEDIAP,08B3.Z,Europe/Zurich,CET,08B3.Z,
0923.HK,HKG,2010-03-31 01:30:00,28800000,Integrated Waste Solutions Group Holdings Limited,1,EQUITY,IWS,0923.HK,Asia/Hong_Kong,HKT,0923.HK,d5d25259-d7a1-322a-8b5d-e5f0da613e31
0A1K.L,LSE,,0,NIO Inc.,1,EQUITY,NIO INC NIO AMERICAN DEPOSITARY,0A1K.L,Europe/London,GMT,0A1K.L,02764d9b-ef40-3b44-982b-1da7c117dba7
