symbol,exchange,firstTradeDateEpochUtc,gmtOffSetMilliseconds,longName,maxAge,quoteType,shortName,symbol,timeZoneFullName,timeZoneShortName,underlyingSymbol,uuid
0004.HK,HKG,2000-01-04 01:30:00,28800000,Wharf (Holdings) Limited,1,EQUITY,WHARF HOLDINGS,0004.HK,Asia/Hong_Kong,HKT,0004.HK,750afd1a-0fd0-307d-b93f-9af5c470a3a4
000719.SZ,SHZ,1997-03-31 02:30:00,28800000,"Central China Land Media CO.,LTD",1,EQUITY,CENTRAL CHINA LAND,000719.SZ,Asia/Shanghai,CST,000719.SZ,14c05ff9-9e9d-3ed2-a96c-60fa6558c928
000913.SS,SHH,,28800000,QIANJIANG MOTOR,1,INDEX,CSI 300 Health Care Index,000913.SS,Asia/Shanghai,CST,000913.SS,998bf91d-0f11-3b9c-9a53-01c3299dc4ba
002153.SZ,SHZ,2007-08-13 02:30:00,28800000,"Beijing Shiji Information Technology Co., Ltd.",1,EQUITY,BEIJING SHIJI INFO,002153.SZ,Asia/Shanghai,CST,002153.SZ,ac099407-0038-319b-bbf3-23543658927e
002700.KS,KSC,2000-01-04 00:00:00,32400000,"Shinil Electronics Co.,Ltd",1,EQUITY,SHINIL ELECTRONICS,002700.KS,Asia/Seoul,KST,002700.KS,c05ceb01-b74d-35bf-93f1-fdf45ff0238c
002774.SZ,SHZ,2017-03-27 02:30:00,28800000,"IFE Elevators Co., Ltd.",1,EQUITY,IFE ELEVATORS CO L,002774.SZ,Asia/Shanghai,CST,002774.SZ,484d9a51-6807-3222-ab81-c071019f8cda
002795.KS,KSC,2000-01-04 00:00:00,32400000,AMOREPACIFIC Group,1,EQUITY,AmoreG(1P),002795.KS,Asia/Seoul,KST,002795.KS,1cdb0ce6-1f05-3188-907c-9b74bed63f71
002A.Z,ZRH,,3600000,,1,INDEX,ESTX LR50 NR EUR,002A.Z,Europe/Zurich,CET,002A.Z,
004440.KS,KSC,2016-03-30 01:00:00,32400000,"Samil C&S Co.,Ltd",1,EQUITY,SAMIL C&S,004440.KS,Asia/Seoul,KST,004440.KS,7e0d2889-62a8-3b20-8013-aa9e670549b5
015230.KS,KSC,2000-01-04 00:00:00,32400000,"Daechang Forging Co., Ltd.",1,EQUITY,DaechangForging,015230.KS,Asia/Seoul,KST,015230.KS,df2f74ce-5a14-3367-8655-dd0d5af18a43
