symbol,exchange,firstTradeDateEpochUtc,gmtOffSetMilliseconds,longName,maxAge,quoteType,shortName,symbol,timeZoneFullName,timeZoneShortName,underlyingSymbol,uuid
000629.SZ,SHZ,1996-11-15 01:30:00,28800000,"Pangang Group Vanadium & Titanium Resources Co., Ltd.",1,EQUITY,PANGANG GP VANADIU,000629.SZ,Asia/Shanghai,CST,000629.SZ,f6eae29f-2ecb-33f4-8487-64f42d18f52d
000680.SZ,SHZ,1997-01-22 01:30:00,28800000,"Shantui Construction Machinery Co., Ltd.",1,EQUITY,SHANTUI CONSTRUCTI,000680.SZ,Asia/Shanghai,CST,000680.SZ,b1f8c9c2-7b2f-3eea-9723-8c4f3ae9917c
000753.SZ,SHZ,1997-06-26 02:30:00,28800000,"Fujian Zhangzhou Development Co.,LTD.",1,EQUITY,FUJIAN ZHANGZHOU D,000753.SZ,Asia/Shanghai,CST,000753.SZ,21bdf2aa-4d4c-3ac9-9235-c2d71461e928
0010.HK,HKG,2000-01-04 01:30:00,28800000,Hang Lung Group Limited,1,EQUITY,HANG LUNG GROUP,0010.HK,Asia/Hong_Kong,HKT,0010.HK,5005aaa9-33c8-3837-9bd1-52e00ca33fae
0022.Z,ZRH,,3600000,,1,INDEX,ESTX LRB50 PR EUR,0022.Z,Europe/Zurich,CET,0022.Z,
002470.SZ,SHZ,2010-09-08 02:30:00,28800000,"Kingenta Ecological Engineering Group Co., Ltd.",1,EQUITY,KINGENTA ECOLOGIC,002470.SZ,Asia/Shanghai,CST,002470.SZ,0959f45b-40d7-37d4-a05b-c2bfb12c2bf4
0060.KL,KLS,2004-12-08 01:00:00,28800000,,1,EQUITY,HM,0060.KL,Asia/Kuala_Lumpur,MYT,0060.KL,28b52b34-6d0f-34af-9174-ff6a271378d2
00762.TW,TAI,2019-01-16 01:00:00,28800000,Yuanta STOXX Global Artificial Intelligence ETF,1,ETF,YUANTA SECURITIES CO.LTD STOXX ,00762.TW,Asia/Taipei,CST,00762.TW,07a92d9b-cfde-3bee-8bdf-3ee0fa47b9ca
007660.KS,KSC,2000-08-23 01:00:00,32400000,"ISU Petasys Co., Ltd.",1,EQUITY,ISUPETASYS,007660.KS,Asia/Seoul,KST,007660.KS,34d69cb5-fc77-34b7-aa6b-7f011da2a718
01GN.Z,ZRH,,3600000,,1,INDEX,EU.ISTX 50 CARB.ADA.NR EO,01GN.Z,Europe/Zurich,CET,01GN.Z,
