symbol,exchange,firstTradeDateEpochUtc,gmtOffSetMilliseconds,longName,maxAge,quoteType,shortName,symbol,timeZoneFullName,timeZoneShortName,underlyingSymbol,uuid
000004.SS,SHH,2015-09-28 02:30:00,28800000,CAU-TECH,1,INDEX,SSE Industrial Index,000004.SS,Asia/Shanghai,CST,000004.SS,af4a903b-b8a8-376a-9c63-72f6f912e55a
000032.SZ,SHZ,1993-10-28 01:30:00,28800000,"Shenzhen SED Industry Co., Ltd.",1,EQUITY,SHENZHEN SED INDUS,000032.SZ,Asia/Shanghai,CST,000032.SZ,60141a6f-4a24-3c6d-b2d9-32b781e921e4
000092.SS,SHH,,28800000,,1,INDEX,SSE Resource 50 index Index,000092.SS,Asia/Shanghai,CST,000092.SS,
000597.SZ,SHZ,1996-05-23 02:30:00,28800000,"Northeast Pharmaceutical Group Co., Ltd.",1,EQUITY,NORTHEAST PHARMACE,000597.SZ,Asia/Shanghai,CST,000597.SZ,0f46580e-8998-301a-91fd-9e893073ca9f
001380.KS,KSC,2000-01-04 00:00:00,32400000,"SG Global Co.,Ltd.",1,EQUITY,SG GLOBAL,001380.KS,Asia/Seoul,KST,001380.KS,3d77df66-1b13-376b-b52b-2446e2a3fc33
0018.KL,KLS,2003-01-28 01:00:00,28800000,,1,EQUITY,LAMBO,0018.KL,Asia/Kuala_Lumpur,MYT,0018.KL,c3bcc4a7-04a8-359f-bda7-07962465394a
002474.SZ,SHZ,2010-09-15 02:30:00,28800000,"Fujian Rongji Software Co., Ltd.",1,EQUITY,FUJIAN RONGJI SOFT,002474.SZ,Asia/Shanghai,CST,002474.SZ,f3f4728e-3699-3c90-b2b5-5e92a0cd9aa5
002810.SZ,SHZ,2016-08-26 02:30:00,28800000,"Shandong Head Group Co.,Ltd.",1,EQUITY,SHANDONG HEAD GROU,002810.SZ,Asia/Shanghai,CST,002810.SZ,60266a34-9240-31a2-9cf7-2bbd469d7917
002930.SZ,SHZ,2018-03-28 02:30:00,28800000,"Guangdong Great River Smarter Logistics Co., Ltd.",1,EQUITY,GUANGDONG GREAT RI,002930.SZ,Asia/Shanghai,CST,002930.SZ,b7dd19e9-97f9-3e2c-b963-e488f3a0202b
002E.Z,ZRH,,3600000,,1,INDEX,ESTX LR100 GR EUR,002E.Z,Europe/Zurich,CET,002E.Z,
003032.SZ,SHZ,2021-01-12 01:30:00,28800000,"Jiangsu Chuanzhi Podcast Education Technology Co., Ltd.",1,EQUITY,JIANGSU CHUANZHIBO,003032.SZ,Asia/Shanghai,CST,003032.SZ,15c3d569-f44a-36d8-b25b-3e5b64341fb8
008060.KS,KSC,2000-01-04 00:00:00,32400000,"Daeduck Co.,Ltd.",1,EQUITY,DAEDUCK,008060.KS,Asia/Seoul,KST,008060.KS,567f4d56-7a24-3389-a346-24342a5f1885
00HS.Z,ZRH,,3600000,,1,INDEX,STX ESG LD.EZ NR USD,00HS.Z,Europe/Zurich,CET,00HS.Z,
00O8.Z,ZRH,,3600000,,1,INDEX,ISTOXX EUROPEAN 100 PR EO,00O8.Z,Europe/Zurich,CET,00O8.Z,
00OV.Z,ZRH,,3600000,,1,INDEX,EISTX ENV.50 EQ.WE.NR.D.5,00OV.Z,Europe/Zurich,CET,00OV.Z,
01T.MU,MUN,2018-09-17 07:00:00,3600000,,1,EQUITY,TOKYU CORP.,01T.MU,Europe/Berlin,CET,01T.MU,57aa1988-ad5b-35c0-9ceb-c1596962b2d8
02LV.Z,ZRH,,3600000,,1,INDEX,STXNDLG GR USD,02LV.Z,Europe/Zurich,CET,02LV.Z,
030016.TW,TAI,,28800000,,1,EQUITY,,030016.TW,Asia/Taipei,CST,030016.TW,
030520.TW,TAI,,28800000,,1,EQUITY,,030520.TW,Asia/Taipei,CST,030520.TW,
03075U.TW,TAI,,28800000,,1,EQUITY,,03075U.TW,Asia/Taipei,CST,03075U.TW,
031056.TW,TAI,,28800000,,1,EQUITY,,031056.TW,Asia/Taipei,CST,031056.TW,
031298.TW,TAI,,28800000,,1,EQUITY,,031298.TW,Asia/Taipei,CST,031298.TW,
031391.TW,TAI,,28800000,,1,EQUITY,,031391.TW,Asia/Taipei,CST,031391.TW,
032271.TW,TAI,,28800000,,1,EQUITY,,032271.TW,Asia/Taipei,CST,032271.TW,
03232P.TW,TAI,,28800000,,1,EQUITY,,03232P.TW,Asia/Taipei,CST,03232P.TW,
