symbol,exchange,firstTradeDateEpochUtc,gmtOffSetMilliseconds,longName,maxAge,quoteType,shortName,symbol,timeZoneFullName,timeZoneShortName,underlyingSymbol,uuid
000091.SS,SHH,,28800000,,1,INDEX,SSE Wealth Mid-Small Index,000091.SS,Asia/Shanghai,CST,000091.SS,
000157.KS,KSC,2000-01-04 00:00:00,32400000,Doosan Corporation,1,EQUITY,DOOSAN(2PB),000157.KS,Asia/Seoul,KST,000157.KS,e521c383-e816-3e02-8b7c-49160e34c269
000756.SZ,SHZ,1997-08-06 02:30:00,28800000,Shandong Xinhua Pharmaceutical Company Limited,1,EQUITY,SHANDONG XINHUA PH,000756.SZ,Asia/Shanghai,CST,000756.SZ,3b2f68c9-a960-3735-b4bc-2234a246a63a
000820.SZ,SHZ,1998-06-30 02:30:00,28800000,"Shenwu Energy Saving Co., Ltd.",1,EQUITY,SHENWU ENERGY SAVI,000820.SZ,Asia/Shanghai,CST,000820.SZ,113cd2b3-ca10-330c-92fc-f6015af923a7
000927.SZ,SHZ,1999-07-27 02:30:00,28800000,China Railway Materials Company Limited,1,EQUITY,CHINA RAILWAY MATE,000927.SZ,Asia/Shanghai,CST,000927.SZ,5c88d806-199e-3db8-86ce-298d58b7c0e5
002058.SZ,SHZ,2006-08-02 02:30:00,28800000,"Shanghai Welltech Automation Co.,Ltd.",1,EQUITY,SHANGHAI WELLTECH,002058.SZ,Asia/Shanghai,CST,002058.SZ,2bd2ff06-e8c7-3382-8294-83c7fcc1d641
002158.SZ,SHZ,2007-08-17 02:30:00,28800000,"Shanghai Hanbell Precise Machinery Co., Ltd.",1,EQUITY,S/HANBELL PREC. MA,002158.SZ,Asia/Shanghai,CST,002158.SZ,2096ccf0-27a8-3a82-9035-5499aa91a1a1
002242.SZ,SHZ,2008-05-19 02:30:00,28800000,"Joyoung Co.,Ltd",1,EQUITY,JOYOUNG CO. LTD.,002242.SZ,Asia/Shanghai,CST,002242.SZ,a8ec3c06-2e99-3032-916a-0fc122595aaf
002380.KS,KSC,2000-01-04 00:00:00,32400000,KCC Corporation,1,EQUITY,KCC,002380.KS,Asia/Seoul,KST,002380.KS,14fff91c-7060-3152-a28a-0ca0785e7e56
002500.SZ,SHZ,2010-11-15 01:30:00,28800000,"Shanxi Securities Co., Ltd.",1,EQUITY,SHANXI SECURITIES,002500.SZ,Asia/Shanghai,CST,002500.SZ,9d5f9bc0-9690-34f6-9da5-aa3c45ce17b3
002692.SZ,SHZ,2012-08-08 02:30:00,28800000,"Yuan Cheng Cable Co.,Ltd.",1,EQUITY,YUAN CHENG CABLE C,002692.SZ,Asia/Shanghai,CST,002692.SZ,344921e1-eef6-3b05-bc49-86e2c94a5eba
002841.SZ,SHZ,2017-01-20 01:30:00,28800000,Guangzhou Shiyuan Electronic Technology Company Limited,1,EQUITY,GUANGZHOU SHIYUAN,002841.SZ,Asia/Shanghai,CST,002841.SZ,e53e7eca-fb2e-35a3-b51a-c5dfa0b4f147
002870.SZ,SHZ,2017-05-15 02:30:00,28800000,Guangdong Senssun Weighing Apparatus Group Ltd.,1,EQUITY,GUANGDONG SENSSUN,002870.SZ,Asia/Shanghai,CST,002870.SZ,f0b53efb-6ec8-3fba-bc18-00e4b72cd033
004310.KS,KSC,2000-02-04 00:00:00,32400000,"Hyundai Pharmaceutical Co., Ltd.",1,EQUITY,Hyundai pharm,004310.KS,Asia/Seoul,KST,004310.KS,29e6796d-8ed0-38d6-b864-323b330378d4
005385.KS,KSC,2005-09-29 01:00:00,32400000,Hyundai Motor Company,1,EQUITY,HyundaiMtr(1P),005385.KS,Asia/Seoul,KST,005385.KS,c0f046a0-3519-3490-93c5-9144a0d47152
00714.TW,TAI,2017-10-20 02:00:00,28800000,Capital Dow Jones U.S. Real Estate Index ETF,1,ETF,CAP DJ US REAL ESTATE ETF DOW J,00714.TW,Asia/Taipei,CST,00714.TW,5a170dcb-66c8-3087-a533-416935cdfe9d
00751B.TWO,TWO,2018-09-20 02:00:00,28800000,Yuanta US 20+ Year AAA-A Corporate Bond ETF,1,EQUITY,YUANTA SECURITIES CO.LTD,00751B.TWO,Asia/Taipei,CST,00751B.TWO,0a3ad7d4-1e91-3064-91d2-6fe738735651
00AT.Z,ZRH,,3600000,,1,INDEX,STX G.1800E.US.L.CA.PR DL,00AT.Z,Europe/Zurich,CET,00AT.Z,6c923c38-8123-39c4-8b8a-30cd4d8535d1
00F7.Z,ZRH,,3600000,,1,INDEX,ISTX MUTB GL.QU.150 NR EO,00F7.Z,Europe/Zurich,CET,00F7.Z,
