symbol,exchange,firstTradeDateEpochUtc,gmtOffSetMilliseconds,longName,maxAge,quoteType,shortName,symbol,timeZoneFullName,timeZoneShortName,underlyingSymbol,uuid
000516.SZ,SHZ,1993-08-09 02:30:00,28800000,Xi'an International Medical Investment Company Limited,1,EQUITY,XIAN INTERNATIONAL,000516.SZ,Asia/Shanghai,CST,000516.SZ,87c39318-7116-3405-a75e-2df47e915e46
000590.SZ,SHZ,1996-01-19 01:30:00,28800000,"Tus-Pharmaceutical Group Co., Ltd.",1,EQUITY,TUS- PHARMACEUTICA,000590.SZ,Asia/Shanghai,CST,000590.SZ,ef25050a-bed6-3c7e-baf5-7a46f2ce28d3
000798.SZ,SHZ,1998-02-12 01:30:00,28800000,"CNFC Overseas Fisheries Co.,Ltd",1,EQUITY,CNFC OVERSEAS FISH,000798.SZ,Asia/Shanghai,CST,000798.SZ,7d795fe2-57fc-3cb2-b97b-d89242e8116a
000803.SZ,SHZ,1998-03-03 01:30:00,28800000,Shandong High Speed Renewable Energy Group Limited,1,EQUITY,SHANDONG HIGH SPEE,000803.SZ,Asia/Shanghai,CST,000803.SZ,3e5d9013-28db-3f94-b9fc-c75f650f31d8
001215.SZ,SHZ,2021-09-06 02:30:00,28800000,"Zhengzhou Qianweiyangchu Food Co., Ltd.",1,EQUITY,ZHENGZHOU QIANWEIY,001215.SZ,Asia/Shanghai,CST,001215.SZ,fe830871-2cd7-3ac3-b722-e4144871a217
002690.KS,KSC,2015-09-24 01:00:00,32400000,"Dong Il Steel Mfg Co.,Ltd",1,EQUITY,DONG IL STEEL,002690.KS,Asia/Seoul,KST,002690.KS,d51cad14-d481-36c8-a280-388a05ce7828
003025.SZ,SHZ,2020-12-11 01:30:00,28800000,"Sijin Intelligent Forming Machinery Co., Ltd.",1,EQUITY,SIJIN INTELLIGENT,003025.SZ,Asia/Shanghai,CST,003025.SZ,71ac9ed3-246d-3c39-bf36-df24010da321
0090.KL,KLS,2005-08-02 02:00:00,28800000,,1,EQUITY,ELSOFT,0090.KL,Asia/Kuala_Lumpur,MYT,0090.KL,08e087dc-6ce5-3193-82e8-04b4e25f0801
0097.Z,ZRH,,3600000,,1,INDEX,ISTX M.G.EX J.Q.D250GR EO,0097.Z,Europe/Zurich,CET,0097.Z,
00A0.Z,ZRH,,3600000,,1,INDEX,STX GLB.CLI.CH.LEAD.NR EO,00A0.Z,Europe/Zurich,CET,00A0.Z,
00CN.Z,ZRH,,3600000,,1,INDEX,STX GLB.LOW CAR.400 PR EO,00CN.Z,Europe/Zurich,CET,00CN.Z,
011390.KS,KSC,2000-01-04 00:00:00,32400000,"Busan Industrial Co., Ltd.",1,EQUITY,BusanInd,011390.KS,Asia/Seoul,KST,011390.KS,efc6266e-c56e-309f-a669-c6d2678ae87f
014160.KS,KSC,2000-01-04 00:00:00,32400000,"DAE YOUNG Packaging.Co., Ltd.",1,EQUITY,DaeyoungPkg,014160.KS,Asia/Seoul,KST,014160.KS,efd2bf4c-dbe4-334e-8a15-ad6abd4050dc
0181.KL,KLS,2015-09-15 02:00:00,28800000,,1,EQUITY,AEMULUS,0181.KL,Asia/Kuala_Lumpur,MYT,0181.KL,b81c46ae-dc63-3524-bf0d-cb1d3b242843
