symbol,exchange,firstTradeDateEpochUtc,gmtOffSetMilliseconds,longName,maxAge,quoteType,shortName,symbol,timeZoneFullName,timeZoneShortName,underlyingSymbol,uuid
000042.SZ,SHZ,1994-09-21 02:30:00,28800000,"Shenzhen Centralcon Investment Holding Co., Ltd.",1,EQUITY,SHN CENTRALCON INV,000042.SZ,Asia/Shanghai,CST,000042.SZ,bd162b69-9381-36e5-800b-f24ef944cb2d
000550.SZ,SHZ,1993-12-01 01:30:00,28800000,"Jiangling Motors Corporation, Ltd.",1,EQUITY,JIANGLING MOTORS,000550.SZ,Asia/Shanghai,CST,000550.SZ,2ade0cb5-d98c-37d0-ba0e-a0b8302aeb0c
000682.SS,SHH,,28800000,,1,INDEX,STAR Next Generation Informatio,000682.SS,Asia/Shanghai,CST,000682.SS,af4349d5-b76f-3646-b860-d31ba676979a
000819.SZ,SHZ,1997-06-25 02:30:00,28800000,"Yueyang Xingchang Petro-Chemical Co., Ltd.",1,EQUITY,YUEYANG XINGCHANG,000819.SZ,Asia/Shanghai,CST,000819.SZ,d8b6c9cf-4dfc-3559-aa2c-1773a0e2bf16
000922.SS,SHH,,28800000,JEMC,1,INDEX,CSI Dividend Index,000922.SS,Asia/Shanghai,CST,000922.SS,86453da5-e344-3cf1-8168-d4b0704dad6d
000996.SZ,SHZ,2000-07-18 02:30:00,28800000,"China CIFCO Investment Co., Ltd",1,EQUITY,CHINA CIFCO INVEST,000996.SZ,Asia/Shanghai,CST,000996.SZ,e3f25155-f378-3629-8348-993bd089f95f
002130.SZ,SHZ,2007-04-20 02:30:00,28800000,"ShenZhen Woer Heat-Shrinkable Material Co.,Ltd.",1,EQUITY,SHENZHEN WOER HEAT,002130.SZ,Asia/Shanghai,CST,002130.SZ,0496945b-ab45-39ac-a8d2-b1bf1ffc177c
002467.SZ,SHZ,2010-09-08 02:30:00,28800000,NET263 Ltd.,1,EQUITY,NET263 LTD,002467.SZ,Asia/Shanghai,CST,002467.SZ,8614dc09-e310-386c-b964-e7f6d0e177bd
002555.SZ,SHZ,2011-03-02 01:30:00,28800000,"37 Interactive Entertainment Network Technology Group Co., Ltd.",1,EQUITY,37 INTERACTIVE ENT,002555.SZ,Asia/Shanghai,CST,002555.SZ,0667312b-f81f-36b8-abd5-6d45cd4a116f
002642.SZ,SHZ,2011-12-20 01:30:00,28800000,Ronglian Group Ltd.,1,EQUITY,RONGLIAN GROUP LTD,002642.SZ,Asia/Shanghai,CST,002642.SZ,aa0686b1-9050-3844-a5ee-bc8146a8486c
0045.HK,HKG,2000-01-04 01:30:00,28800000,"The Hongkong and Shanghai Hotels, Limited",1,EQUITY,HK&S HOTELS,0045.HK,Asia/Hong_Kong,HKT,0045.HK,e56135b3-0699-3574-9833-1c387f3a04c5
0055.TW,TAI,2008-01-02 01:00:00,28800000,Yuanta/P-shares MSCI Taiwan Financials ETF,1,ETF,YUANTA SECURITIES INV TRUST CO ,0055.TW,Asia/Taipei,CST,0055.TW,554de33e-a94c-39c3-acbf-24003bffaabe
006380.KS,KSC,2000-01-04 00:00:00,32400000,Capro Corporation,1,EQUITY,CAPRO,006380.KS,Asia/Seoul,KST,006380.KS,4a3300a7-fef7-3cc3-9457-fc942c6f0028
00657.TW,TAI,2016-04-25 02:00:00,28800000,Cathay Nikkei 225 Currency-hedged ETF Fund,1,ETF,CATHAY SECS INV TRUST CO LTD NI,00657.TW,Asia/Taipei,CST,00657.TW,c641b73c-3a62-3559-a095-c4f1412f90d8
00660.TW,TAI,2016-06-01 02:00:00,28800000,Yuanta EURO STOXX 50 ETF,1,ETF,YUANTA SECURITIES INV TRUST CO ,00660.TW,Asia/Taipei,CST,00660.TW,9acc4c7d-96cf-3aa2-a04c-4709ab2e644e
00788B.TWO,TWO,2019-03-22 01:00:00,28800000,Yuanta US 10+ Investment Grade Utility Electric Power Bond ETF,1,EQUITY,YUANTA SECURITIES INV TRUST CO ,00788B.TWO,Asia/Taipei,CST,00788B.TWO,bdf5775b-0377-3f08-85ae-e3810d488145
00OH.Z,ZRH,,3600000,,1,INDEX,ESTX 50 SH.STR.TR EUR,00OH.Z,Europe/Zurich,CET,00OH.Z,8b6f1f8f-2ae4-390b-87b6-efec65887a8c
016590.KS,KSC,2000-01-04 00:00:00,32400000,"Shindaeyang Paper Co., Ltd.",1,EQUITY,ShindaeyangPapr,016590.KS,Asia/Seoul,KST,016590.KS,c566dd6b-df04-3c65-b0ba-3d4299ad87f8
0197.KL,KLS,2018-03-06 01:00:00,28800000,,1,EQUITY,WEGMANS,0197.KL,Asia/Kuala_Lumpur,MYT,0197.KL,f8269eef-584c-3004-ae66-9e413d988992
02J6.Z,ZRH,,3600000,,1,INDEX,STXEXUKLG GR USD,02J6.Z,Europe/Zurich,CET,02J6.Z,
030148.TW,TAI,,28800000,,1,EQUITY,,030148.TW,Asia/Taipei,CST,030148.TW,
030465.TW,TAI,,28800000,,1,EQUITY,,030465.TW,Asia/Taipei,CST,030465.TW,
030679.TW,TAI,,28800000,,1,EQUITY,,030679.TW,Asia/Taipei,CST,030679.TW,
031076.TW,TAI,,28800000,,1,EQUITY,,031076.TW,Asia/Taipei,CST,031076.TW,
031220.TW,TAI,,28800000,,1,EQUITY,,031220.TW,Asia/Taipei,CST,031220.TW,
031296.TW,TAI,,28800000,,1,EQUITY,,031296.TW,Asia/Taipei,CST,031296.TW,
031644.TW,TAI,,28800000,,1,EQUITY,,031644.TW,Asia/Taipei,CST,031644.TW,
031908.TW,TAI,,28800000,,1,EQUITY,,031908.TW,Asia/Taipei,CST,031908.TW,
032403.TW,TAI,,28800000,,1,EQUITY,,032403.TW,Asia/Taipei,CST,032403.TW,
032715.TW,TAI,,28800000,,1,EQUITY,,032715.TW,Asia/Taipei,CST,032715.TW,
032721.TW,TAI,,28800000,,1,EQUITY,,032721.TW,Asia/Taipei,CST,032721.TW,
03276P.TW,TAI,,28800000,,1,EQUITY,,03276P.TW,Asia/Taipei,CST,03276P.TW,602c92b3-ae2a-3b6b-9fc0-5aa5133efccc
035610.KQ,KOE,2000-02-14 00:00:00,32400000,"Solborn, Inc.",1,EQUITY,SOLBORN,035610.KQ,Asia/Seoul,KST,035610.KQ,1b7e8bef-e601-35a6-af4d-cf99acb2a41b
0362.Z,ZRH,,3600000,,1,INDEX,STXAP6UTI GR USD,0362.Z,Europe/Zurich,CET,0362.Z,
03762P.TW,TAI,,28800000,,1,EQUITY,,03762P.TW,Asia/Taipei,CST,03762P.TW,
0377.HK,HKG,2000-01-04 01:30:00,28800000,China Huajun Group Limited,1,EQUITY,CHINA HUAJUN GP,0377.HK,Asia/Hong_Kong,HKT,0377.HK,df54a77e-2e88-3f47-b415-ec0b245051fe
03788P.TW,TAI,,28800000,,1,EQUITY,,03788P.TW,Asia/Taipei,CST,03788P.TW,
03814P.TW,TAI,,28800000,,1,EQUITY,,03814P.TW,Asia/Taipei,CST,03814P.TW,
04193P.TW,TAI,,28800000,,1,EQUITY,,04193P.TW,Asia/Taipei,CST,04193P.TW,
044J.Z,ZRH,,3600000,,1,INDEX,STX GLOB 3000 A+PT.NR EUR,044J.Z,Europe/Zurich,CET,044J.Z,
04GH.Z,ZRH,,3600000,,1,INDEX,ESTX BANKS 30-15 PR EO,04GH.Z,Europe/Zurich,CET,04GH.Z,
054950.KQ,KOE,2006-06-07 01:00:00,32400000,"JVM Co., Ltd",1,EQUITY,JVM,054950.KQ,Asia/Seoul,KST,054950.KQ,f3b9825f-69c6-3dda-964f-b66c78e96cdd
05LW.Z,ZRH,,3600000,,1,INDEX,STO.GERMANY TM.E.X NR EUR,05LW.Z,Europe/Zurich,CET,05LW.Z,
06Z8.Z,ZRH,,3600000,,1,INDEX,ST.EUROPE 600 AX V.NR EUR,06Z8.Z,Europe/Zurich,CET,06Z8.Z,
07296P.TW,TAI,,28800000,,1,EQUITY,,07296P.TW,Asia/Taipei,CST,07296P.TW,
