symbol,exchange,firstTradeDateEpochUtc,gmtOffSetMilliseconds,longName,maxAge,quoteType,shortName,symbol,timeZoneFullName,timeZoneShortName,underlyingSymbol,uuid
TASAME1.MX,YHD,2005-07-29 13:30:00,-18000000,+TASA ME1,1,MUTUALFUND,+TASA ME1,TASAME1.MX,America/New_York,EST,TASAME1.MX,db607faf-e545-37d8-9108-75ca9bf751c8
000152.SS,SHH,,28800000,,1,INDEX,SSE Central State-owned Enterpr,000152.SS,Asia/Shanghai,CST,000152.SS,
002714.SZ,SHZ,2014-01-28 01:30:00,28800000,"Muyuan Foods Co., Ltd.",1,EQUITY,MUYUAN FOODS CO LT,002714.SZ,Asia/Shanghai,CST,002714.SZ,b6b7d910-3b72-3698-9727-fd9b25c5f4a7
0053.KL,KLS,2000-01-03 01:00:00,28800000,,1,EQUITY,OSKVI,0053.KL,Asia/Kuala_Lumpur,MYT,0053.KL,4874ab76-23ac-3060-90af-c534c50318c9
005610.KS,KSC,2000-01-04 00:00:00,32400000,"SPC Samlip Co., Ltd.",1,EQUITY,SPC SAMLIP,005610.KS,Asia/Seoul,KST,005610.KS,70230663-696d-385b-94e8-6807eea40903
00A7.Z,ZRH,,3600000,,1,INDEX,STX G.L.CARB.100 EW NR DL,00A7.Z,Europe/Zurich,CET,00A7.Z,
00HT.Z,ZRH,,3600000,,1,INDEX,STX ESG LD.EZ GR USD,00HT.Z,Europe/Zurich,CET,00HT.Z,80693ec2-f634-3eb9-8ab6-e8120018e5ea
011000.KS,KSC,2000-02-04 00:00:00,32400000,"GeneOne Life Science, Inc.",1,EQUITY,GENEONE,011000.KS,Asia/Seoul,KST,011000.KS,2e6b9d9f-a22e-36ee-8b5c-def401e98996
01A8.Z,ZRH,,3600000,,1,INDEX,STX GLB.1800 DLY HE.NR EO,01A8.Z,Europe/Zurich,CET,01A8.Z,
0237.HK,HKG,2000-01-12 01:30:00,28800000,"Safety Godown Company, Limited",1,EQUITY,SAFETY GODOWN,0237.HK,Asia/Hong_Kong,HKT,0237.HK,2cb8fee1-4b7d-3b16-9222-5e3a50b64ed1
02LQ.Z,ZRH,,3600000,,1,INDEX,STXG18XAM GR USD,02LQ.Z,Europe/Zurich,CET,02LQ.Z,b3947128-c692-3220-b97f-3f8588368c7c
02U8.Z,ZRH,,3600000,,1,INDEX,STX LATAM50 RC.20RV NR EO,02U8.Z,Europe/Zurich,CET,02U8.Z,4b73832b-d4d0-3856-a97a-0d87c1c33262
030278.TW,TAI,,28800000,,1,EQUITY,,030278.TW,Asia/Taipei,CST,030278.TW,
03066U.TW,TAI,,28800000,,1,EQUITY,,03066U.TW,Asia/Taipei,CST,03066U.TW,
030941.TW,TAI,,28800000,,1,EQUITY,,030941.TW,Asia/Taipei,CST,030941.TW,
031207.TW,TAI,,28800000,,1,EQUITY,,031207.TW,Asia/Taipei,CST,031207.TW,
031997.TW,TAI,,28800000,,1,EQUITY,,031997.TW,Asia/Taipei,CST,031997.TW,
032186.TW,TAI,,28800000,,1,EQUITY,,032186.TW,Asia/Taipei,CST,032186.TW,
032347.TW,TAI,,28800000,,1,EQUITY,,032347.TW,Asia/Taipei,CST,032347.TW,
032580.TW,TAI,,28800000,,1,EQUITY,,032580.TW,Asia/Taipei,CST,032580.TW,
032645.TW,TAI,,28800000,,1,EQUITY,,032645.TW,Asia/Taipei,CST,032645.TW,
03592P.TW,TAI,,28800000,,1,EQUITY,,03592P.TW,Asia/Taipei,CST,03592P.TW,
03825C.TW,TAI,,28800000,,1,EQUITY,,03825C.TW,Asia/Taipei,CST,03825C.TW,
03LH.Z,ZRH,,3600000,,1,INDEX,STXIDTM NR EUR,03LH.Z,Europe/Zurich,CET,03LH.Z,
04017P.TW,TAI,,28800000,,1,EQUITY,,04017P.TW,Asia/Taipei,CST,04017P.TW,
049520.KQ,KOE,2001-08-03 00:00:00,32400000,"UIL Co., Ltd.",1,EQUITY,UIL,049520.KQ,Asia/Seoul,KST,049520.KQ,e799f6c1-815e-341c-bf9c-c98b274dcb77
04ZP.Z,ZRH,,3600000,,1,INDEX,STX DEV.MK.150 GR EO,04ZP.Z,Europe/Zurich,CET,04ZP.Z,
051980.KQ,KOE,2001-08-01 00:00:00,32400000,"JOONGANG DNM Co.,Ltd",1,EQUITY,JOONGANGDNM,051980.KQ,Asia/Seoul,KST,051980.KQ,3d03dd58-1110-3f22-9914-629833182106
05728P.TW,TAI,,28800000,,1,EQUITY,,05728P.TW,Asia/Taipei,CST,05728P.TW,047ad8d1-1e9b-37b3-98b2-03b2af7a3416
059327.TW,TAI,,28800000,,1,EQUITY,,059327.TW,Asia/Taipei,CST,059327.TW,
05ZB.Z,ZRH,,3600000,,1,INDEX,STX GLOB 3000 INS.GR USD,05ZB.Z,Europe/Zurich,CET,05ZB.Z,
0620.HK,HKG,2001-05-24 01:30:00,28800000,DTXS Silk Road Investment Holdings Company Limited,1,EQUITY,DTXS SILK ROAD,0620.HK,Asia/Hong_Kong,HKT,0620.HK,935a3f04-59e3-3e7e-929a-3a4deeab9d5b
06825P.TW,TAI,,28800000,,1,EQUITY,,06825P.TW,Asia/Taipei,CST,06825P.TW,
06F9.Z,ZRH,,3600000,,1,INDEX,STX AM 100 GR USD,06F9.Z,Europe/Zurich,CET,06F9.Z,
06FZ.Z,ZRH,,3600000,,1,INDEX,STX AM 1200 PR USD,06FZ.Z,Europe/Zurich,CET,06FZ.Z,
07008P.TW,TAI,,28800000,,1,EQUITY,,07008P.TW,Asia/Taipei,CST,07008P.TW,
074710.TW,TAI,,28800000,,1,EQUITY,,074710.TW,Asia/Taipei,CST,074710.TW,fe27592d-bd3c-3aad-8635-08f9d54309a5
07582P.TW,TAI,,28800000,,1,EQUITY,,07582P.TW,Asia/Taipei,CST,07582P.TW,6a7a180b-b6cc-38b3-bb92-1fcde9807165
077904.TW,TAI,,28800000,,1,EQUITY,,077904.TW,Asia/Taipei,CST,077904.TW,
077981.TW,TAI,,28800000,,1,EQUITY,,077981.TW,Asia/Taipei,CST,077981.TW,
07UN.Z,ZRH,,3600000,,1,INDEX,STXCATMLARGE PR EUR,07UN.Z,Europe/Zurich,CET,07UN.Z,
082049.TW,TAI,,28800000,,1,EQUITY,,082049.TW,Asia/Taipei,CST,082049.TW,
083278.TW,TAI,,28800000,,1,EQUITY,,083278.TW,Asia/Taipei,CST,083278.TW,
084190.TW,TAI,,28800000,,1,EQUITY,,084190.TW,Asia/Taipei,CST,084190.TW,
084561.TW,TAI,,28800000,,1,EQUITY,,084561.TW,Asia/Taipei,CST,084561.TW,
085352.TW,TAI,,28800000,,1,EQUITY,,085352.TW,Asia/Taipei,CST,085352.TW,
085876.TW,TAI,,28800000,,1,EQUITY,,085876.TW,Asia/Taipei,CST,085876.TW,bdef867a-9ce7-3977-958b-8fc75af5ef77
086413.TW,TAI,,28800000,,1,EQUITY,,086413.TW,Asia/Taipei,CST,086413.TW,
087208.TW,TAI,,28800000,,1,EQUITY,,087208.TW,Asia/Taipei,CST,087208.TW,
087328.TW,TAI,,28800000,,1,EQUITY,,087328.TW,Asia/Taipei,CST,087328.TW,
087428.TW,TAI,,28800000,,1,EQUITY,,087428.TW,Asia/Taipei,CST,087428.TW,
087631.TW,TAI,,28800000,,1,EQUITY,,087631.TW,Asia/Taipei,CST,087631.TW,
087709.TW,TAI,,28800000,,1,EQUITY,,087709.TW,Asia/Taipei,CST,087709.TW,
