symbol,exchange,firstTradeDateEpochUtc,gmtOffSetMilliseconds,longName,maxAge,quoteType,shortName,symbol,timeZoneFullName,timeZoneShortName,underlyingSymbol,uuid
000046.SS,SHH,,28800000,,1,INDEX,SSE Mid and Small Cap Index,000046.SS,Asia/Shanghai,CST,000046.SS,
000661.SZ,SHZ,1996-12-18 01:30:00,28800000,Changchun High-Tech Industries (Group) Inc.,1,EQUITY,CHANGCHUN HIGH NEW,000661.SZ,Asia/Shanghai,CST,000661.SZ,bf42dad2-1237-34cc-a40f-7f70a4dca982
000708.SZ,SHZ,1997-03-26 01:30:00,28800000,"Citic Pacific Special Steel Group Co., Ltd.",1,EQUITY,CITIC PACIFIC SPEC,000708.SZ,Asia/Shanghai,CST,000708.SZ,76476d03-3f9e-3132-9fbd-d9f7dbe0f8b7
000801.SZ,SHZ,1998-05-06 01:30:00,28800000,"Sichuan Jiuzhou Electronic Co., Ltd.",1,EQUITY,SICHUAN JIUZHOU EL,000801.SZ,Asia/Shanghai,CST,000801.SZ,18992bbd-e55c-30ad-a1a6-7a27736ac434
000837.SZ,SHZ,1998-09-28 01:30:00,28800000,"Qinchuan Machine Tool & Tool Group Share Co., Ltd.",1,EQUITY,QINCHUAN MACHINE T,000837.SZ,Asia/Shanghai,CST,000837.SZ,90091a59-56c8-3254-a96a-da400a705c83
000959.SZ,SHZ,1999-12-16 01:30:00,28800000,"Beijing Shougang Co., Ltd.",1,EQUITY,BEIJING SHOUGANG,000959.SZ,Asia/Shanghai,CST,000959.SZ,ea0d533a-bb7d-35a7-aa91-4577166abb0b
002421.SZ,SHZ,2010-06-03 01:30:00,28800000,"Shenzhen Das Intellitech Co., Ltd.",1,EQUITY,SHENZHEN DAS INTEL,002421.SZ,Asia/Shanghai,CST,002421.SZ,7881c1e9-d9ac-39c0-ad87-fc9fa03d7b3b
0060.Z,ZRH,,3600000,,1,INDEX,STXE LOW CARBON 100 PR DL,0060.Z,Europe/Zurich,CET,0060.Z,
009190.KS,KSC,2000-01-04 00:00:00,32400000,"Daiyang Metal Co., Ltd.",1,EQUITY,DaiyangMtl,009190.KS,Asia/Seoul,KST,009190.KS,15cd7c18-8258-37eb-a564-c197918b1aeb
009900.KS,KSC,2020-12-07 00:00:00,32400000,"Myoung Shin Industrial Co.,Ltd",1,EQUITY,MS IND,009900.KS,Asia/Seoul,KST,009900.KS,ed422238-70cb-3b52-8cc0-f88dc8bb22fd
00CX.Z,ZRH,,3600000,,1,INDEX,STX GLB.L.CAR.FOOTP.NR DL,00CX.Z,Europe/Zurich,CET,00CX.Z,
00D0.F,FRA,2011-12-02 07:00:00,3600000,South Manganese Investment Limited,1,EQUITY,"SOUTH MANGAN.INV.  HD-,05",00D0.F,Europe/Berlin,CET,00D0.F,70724dd1-8ff4-39e1-a527-958fea1569fe
012200.KS,KSC,2000-01-04 00:00:00,32400000,"Keyang Electric Machinery Co., Ltd.",1,EQUITY,KeyangElecMach,012200.KS,Asia/Seoul,KST,012200.KS,180bd865-2b27-3e35-88cd-7231101aeb64
020Y.Z,ZRH,,3600000,,1,INDEX,STX ASEAN DIV.50 GR EO,020Y.Z,Europe/Zurich,CET,020Y.Z,
