symbol,exchange,firstTradeDateEpochUtc,gmtOffSetMilliseconds,longName,maxAge,quoteType,shortName,symbol,timeZoneFullName,timeZoneShortName,underlyingSymbol,uuid
000061.SZ,SHZ,1997-01-10 01:30:00,28800000,"Shenzhen Agricultural Products Group Co., Ltd.",1,EQUITY,SHENZHEN AGRICULTU,000061.SZ,Asia/Shanghai,CST,000061.SZ,aea4c5da-52bc-3884-8902-1e0b5d3a295b
000118.SS,SHH,,28800000,,1,INDEX,SSE 380 Value Index Index,000118.SS,Asia/Shanghai,CST,000118.SS,
000132.SS,SHH,,28800000,,1,INDEX,SSE 100 Index,000132.SS,Asia/Shanghai,CST,000132.SS,
000640.KS,KSC,2005-09-29 01:00:00,32400000,"Dong-A Socio Holdings Co., Ltd.",1,EQUITY,Donga Socio Holdings,000640.KS,Asia/Seoul,KST,000640.KS,c076d0bd-9f86-36d4-a4d0-9ba3ebc1c77e
000767.SZ,SHZ,1997-06-09 02:30:00,28800000,"Jinneng Holding Shanxi Electric Power Co.,LTD.",1,EQUITY,SHANXI ZHANGZE ELE,000767.SZ,Asia/Shanghai,CST,000767.SZ,d9afc0f2-0362-3335-b8a0-3b2ecde714d8
001288.SZ,SHZ,2021-11-01 01:30:00,28800000,"Sichuan Zigong Conveying Machine Group Co., Ltd.",1,EQUITY,SICHUAN ZIGONG CON,001288.SZ,Asia/Shanghai,CST,001288.SZ,31060d15-6afc-3dbf-8690-fed359780b1b
002390.KS,KSC,2000-01-04 00:00:00,32400000,HANDOK Inc.,1,EQUITY,HANDOK,002390.KS,Asia/Seoul,KST,002390.KS,2c035d64-7f94-371e-abe9-5c5cc14ca960
002610.SZ,SHZ,2011-08-15 02:30:00,28800000,"Jiangsu Akcome Science and Technology Co., Ltd.",1,EQUITY,JIANGSU AKCOME SCI,002610.SZ,Asia/Shanghai,CST,002610.SZ,ea1f6b56-09dc-334e-bd9a-b24af291e86a
002745.SZ,SHZ,2015-02-17 01:30:00,28800000,"MLS Co., Ltd",1,EQUITY,MLS CO LTD,002745.SZ,Asia/Shanghai,CST,002745.SZ,9136e4d9-2a55-31c0-8eec-256c23d960be
006203.TW,TAI,2011-04-21 02:00:00,28800000,Yuanta / P-shares MSCI Taiwan ETF,1,ETF,YUANTA SECURITIES INV TRUST CO ,006203.TW,Asia/Taipei,CST,006203.TW,61a44652-9886-3c1f-88a1-9ed1596392cc
00637L.TW,TAI,2015-02-05 01:00:00,28800000,Yuanta/P-Shrs CSI 300 2X ETF,1,ETF,YUANTA SECURITIES INV TRUST CO ,00637L.TW,Asia/Taipei,CST,00637L.TW,ac60e427-0592-3376-97f9-70c026ba8240
006K.Z,ZRH,,3600000,,1,INDEX,ESTX LOW CARBON GR EO,006K.Z,Europe/Zurich,CET,006K.Z,
009P.Z,ZRH,,3600000,,1,INDEX,STX EM 800 LO MIN.VAR.GR,009P.Z,Europe/Zurich,CET,009P.Z,
