symbol,exchange,firstTradeDateEpochUtc,gmtOffSetMilliseconds,longName,maxAge,quoteType,shortName,symbol,timeZoneFullName,timeZoneShortName,underlyingSymbol,uuid
TASAD1F3.MX,YHD,2013-06-27 14:30:00,-18000000,+TASAD1 F3,1,MUTUALFUND,+TASAD1 F3,TASAD1F3.MX,America/New_York,EST,TASAD1F3.MX,52f6bf92-3719-33c7-8e2a-d29386316a48
000401.SZ,SHZ,1996-06-14 02:30:00,28800000,"Tangshan Jidong Cement Co.,Ltd.",1,EQUITY,TANGSHAN JIDONG CE,000401.SZ,Asia/Shanghai,CST,000401.SZ,a0654886-cf17-3aeb-b4b3-498e3389bfc4
000686.SZ,SHZ,1997-02-27 01:30:00,28800000,"Northeast Securities Co., Ltd.",1,EQUITY,NORTHEAST SECURITI,000686.SZ,Asia/Shanghai,CST,000686.SZ,149c3beb-f99b-309e-8ef3-a897ee576a73
000948.SS,SHH,,28800000,NANTIAN,1,INDEX,CSI China Mainland Real Estate ,000948.SS,Asia/Shanghai,CST,000948.SS,e29045df-fe10-35b9-9648-b362d83f604f
002594.SZ,SHZ,2011-06-30 02:30:00,28800000,BYD Company Limited,1,EQUITY,BYD COMPANY LTD,002594.SZ,Asia/Shanghai,CST,002594.SZ,b5a1ec4b-54c3-38ab-a6fa-57bcb824bff5
002957.SZ,SHZ,2019-07-26 02:30:00,28800000,"Shenzhen Colibri Technologies Co., Ltd.",1,EQUITY,SHENZHEN COLIBRI T,002957.SZ,Asia/Shanghai,CST,002957.SZ,e40ee8f2-9bfb-3165-883e-9a8bad5c96d8
003070.KS,KSC,2000-01-04 00:00:00,32400000,Kolon Global Corporation,1,EQUITY,KolonGlobal,003070.KS,Asia/Seoul,KST,003070.KS,7229070f-be88-367c-a07e-940c6badcef0
00784B.TWO,TWO,2019-03-20 01:00:00,28800000,Fubon FTSE Asian Broad Bond Index- China Investment-Grade ETF,1,EQUITY,FUBON SECURITIES INVSTMT TRUST ,00784B.TWO,Asia/Taipei,CST,00784B.TWO,ce98a31f-a226-3f59-ae3c-443f9c2161e9
00896.TW,TAI,2021-09-09 02:00:00,28800000,CTBC TIP Customized Taiwan Green Energy and Electric Vehicles ETF,1,ETF,CTBC INVESTMENTS CO LTD GREEN E,00896.TW,Asia/Taipei,CST,00896.TW,93b464b4-7ab8-3711-9fcc-02ff06d95672
0099.Z,ZRH,,3600000,,1,INDEX,ISTX M.G.EX A.Q.D300NR DL,0099.Z,Europe/Zurich,CET,0099.Z,
