symbol,exchange,firstTradeDateEpochUtc,gmtOffSetMilliseconds,longName,maxAge,quoteType,shortName,symbol,timeZoneFullName,timeZoneShortName,underlyingSymbol,uuid
000058.SS,SHH,,28800000,Shenzhen SEG,1,INDEX,SSE Large and Mid and Small Cap,000058.SS,Asia/Shanghai,CST,000058.SS,2fb33c84-e991-3c2e-9255-233959503fd7
000153.SZ,SHZ,2000-09-20 02:30:00,28800000,"Anhui Fengyuan Pharmaceutical Co., Ltd.",1,EQUITY,ANHUI FENGYUAN PHA,000153.SZ,Asia/Shanghai,CST,000153.SZ,c89abd75-db66-32c2-82d5-c0bb0c256505
000530.SZ,SHZ,1993-12-08 01:30:00,28800000,"Bingshan Refrigeration & Heat Transfer Technologies Co., Ltd.",1,EQUITY,BINGSHAN REFRIGERA,000530.SZ,Asia/Shanghai,CST,000530.SZ,b4d04166-2957-3e26-a4e1-f5e11d260407
000733.SZ,SHZ,1997-07-03 02:30:00,28800000,"China Zhenhua (Group) Science & Technology Co., Ltd",1,EQUITY,CHINA ZHENHUA SCIE,000733.SZ,Asia/Shanghai,CST,000733.SZ,01f2b234-07ce-3011-b36b-ceafee9d7e43
000893.SZ,SHZ,1998-12-24 01:30:00,28800000,"Asia-potash International Investment (Guangzhou)Co.,Ltd.",1,EQUITY,ASIA-POTASH INTERN,000893.SZ,Asia/Shanghai,CST,000893.SZ,864ce912-0ad8-3490-b108-fb4e7ed622fc
000902.SS,SHH,,28800000,XYF,1,INDEX,CSI Free Float Index,000902.SS,Asia/Shanghai,CST,000902.SS,1aa1d91f-03c3-33d5-9c04-c44c2ebbeb12
000962.SS,SHH,,28800000,OTIC,1,INDEX,CSI Midstream Manufacturing Ind,000962.SS,Asia/Shanghai,CST,000962.SS,cf861577-e783-3df4-b230-a1ec768017be
002827.SZ,SHZ,2016-12-12 01:30:00,28800000,"Tibet GaoZheng Explosive Co., Ltd.",1,EQUITY,TIBET GAOZHENG EXP,002827.SZ,Asia/Shanghai,CST,002827.SZ,d2e6797f-85b6-31b0-b851-fb1a9374094d
002933.SZ,SHZ,2018-08-28 02:30:00,28800000,"Beijing Emerging Eastern Aviation Equipment Co., Ltd.",1,EQUITY,BEIJING EMERGING E,002933.SZ,Asia/Shanghai,CST,002933.SZ,756f7c0d-225b-3e90-a514-7ffdd1256520
003023.SZ,SHZ,2020-12-11 01:30:00,28800000,"Chengdu Rainbow Appliance (Group) Shares Co., Ltd.",1,EQUITY,CHENGDU RAINBOW AP,003023.SZ,Asia/Shanghai,CST,003023.SZ,41f6c53a-1b9a-37df-9396-39906230f54d
00887.TWO,TWO,2021-03-23 01:00:00,28800000,SinoPac Global High Quality ETF - SinoPac China CSI Technology 50 ETF,1,ETF,SINOPAC SECS INV TR CO LTD SINO,00887.TWO,Asia/Taipei,CST,00887.TWO,afc7fc15-d5bc-3afe-8549-b99110df67e7
009Z.Z,ZRH,,3600000,,1,INDEX,STX.EME.MAR. 800 LO NR EO,009Z.Z,Europe/Zurich,CET,009Z.Z,
00CD.Z,ZRH,,3600000,,1,INDEX,STX GL.LOW CARB.100 NR DL,00CD.Z,Europe/Zurich,CET,00CD.Z,
00FR.Z,ZRH,,3600000,,1,INDEX,STX USA LOW CARBON GR EO,00FR.Z,Europe/Zurich,CET,00FR.Z,
00KL.Z,ZRH,,3600000,,1,INDEX,ISTX M.G.EX J.Q.150 GR EO,00KL.Z,Europe/Zurich,CET,00KL.Z,
00KM.Z,ZRH,,3600000,,1,INDEX,ISTX M.G.EX J.Q.150 PR DL,00KM.Z,Europe/Zurich,CET,00KM.Z,
01AA.Z,ZRH,,3600000,,1,INDEX,EISTX50 ER 1.2 MO.L.PR SW,01AA.Z,Europe/Zurich,CET,01AA.Z,
01GV.Z,ZRH,,3600000,,1,INDEX,ISTX GL.RE.WA.M.S30 GR EO,01GV.Z,Europe/Zurich,CET,01GV.Z,
0259.HK,HKG,2000-01-04 01:30:00,28800000,Yeebo (International Holdings) Limited,1,EQUITY,YEEBO (INT'L H),0259.HK,Asia/Hong_Kong,HKT,0259.HK,b2dd0cbf-8192-3f85-95f8-9c62f78f7b19
