symbol,exchange,firstTradeDateEpochUtc,gmtOffSetMilliseconds,longName,maxAge,quoteType,shortName,symbol,timeZoneFullName,timeZoneShortName,underlyingSymbol,uuid
000885.SZ,SHZ,1999-03-19 01:30:00,28800000,"City Development Environment CO.,Ltd.",1,EQUITY,CITY DEVELOPMENT E,000885.SZ,Asia/Shanghai,CST,000885.SZ,fed77bf8-7957-3b88-ac42-855342f2413e
000900.SZ,SHZ,1999-01-28 01:30:00,28800000,"Xiandai Investment Co.,Ltd",1,EQUITY,XIANDAI INVEST CO,000900.SZ,Asia/Shanghai,CST,000900.SZ,45181211-3676-3be8-a4b2-c7a17c193f36
000971.SS,SHH,,28800000,GOSUN HOLDING,1,INDEX,CSI Equal Weight 90 Index,000971.SS,Asia/Shanghai,CST,000971.SS,d67a5115-34c6-3874-8ee3-37c151544d8e
002528.SZ,SHZ,2010-12-24 01:30:00,28800000,Shenzhen Infinova Limited,1,EQUITY,SHENZHEN INFINOVA,002528.SZ,Asia/Shanghai,CST,002528.SZ,869f9b9e-1f2a-32ef-b937-10ac83ad19c8
002787.SZ,SHZ,2015-12-31 01:30:00,28800000,"Suzhou Hycan Holdings Co., Ltd.",1,EQUITY,SUZHOU HYCAN HOLDI,002787.SZ,Asia/Shanghai,CST,002787.SZ,a7df34ca-9f8c-346e-81f9-5a8024be37d7
00279K.KS,KSC,,32400000,AMOREPACIFIC Group,1,EQUITY,AMOREG(3PC),00279K.KS,Asia/Seoul,KST,00279K.KS,1cb62d2f-4345-3cd9-a6cb-50e9dcdee81e
002820.SZ,SHZ,2016-11-18 01:30:00,28800000,"Tianjin Guifaxiang 18th Street Mahua Food Co.,Ltd.",1,EQUITY,TIANJIN GUIFAXIANG,002820.SZ,Asia/Shanghai,CST,002820.SZ,dc15a60b-6235-3a32-8b23-f7b369d7feaa
002953.SZ,SHZ,2019-05-09 02:30:00,28800000,"Guangdong Rifeng Electric Cable Co., Ltd.",1,EQUITY,GUANGDONG RIFENG E,002953.SZ,Asia/Shanghai,CST,002953.SZ,38b378db-75b1-38fb-b4e6-3d00154163ae
00654R.TW,TAI,2016-03-16 01:00:00,28800000,Fubon NIFTY -1 Inverse Index ETF,1,ETF,FUBON ASSET MANAGEMENT CO LTD N,00654R.TW,Asia/Taipei,CST,00654R.TW,d2131e49-59ad-3242-92a4-ae74d5022210
006C.Z,ZRH,,3600000,,1,INDEX,ESTX REP.LOW CARBON NR DL,006C.Z,Europe/Zurich,CET,006C.Z,
008500.KS,KSC,2000-01-04 00:00:00,32400000,"Iljeong Industrial Co.,Ltd",1,EQUITY,IljeongInd,008500.KS,Asia/Seoul,KST,008500.KS,1c72015a-f6f1-397d-8c7b-1d5b24a6c591
00PB.Z,ZRH,,3600000,,1,INDEX,STXE 600 BA.RE.D.L.NR EO,00PB.Z,Europe/Zurich,CET,00PB.Z,
01U4.Z,ZRH,,3600000,,1,INDEX,STXE TM GR EUR,01U4.Z,Europe/Zurich,CET,01U4.Z,
0200.Z,ZRH,,3600000,,1,INDEX,STX ASEAN DIV.50 NR DL,0200.Z,Europe/Zurich,CET,0200.Z,ca76e79e-e47a-3b96-9133-29fc0f1b425c
0202.Z,ZRH,,3600000,,1,INDEX,STX ASEAN DIV.50 PR YN,0202.Z,Europe/Zurich,CET,0202.Z,
