symbol,exchange,firstTradeDateEpochUtc,gmtOffSetMilliseconds,longName,maxAge,quoteType,shortName,symbol,timeZoneFullName,timeZoneShortName,underlyingSymbol,uuid
000099.SS,SHH,,28800000,COHC,1,INDEX,SSEF 300 Index,000099.SS,Asia/Shanghai,CST,000099.SS,a8acf457-7092-3871-9acd-5b3da9b393a7
000709.SZ,SHZ,1997-04-16 01:30:00,28800000,Hbis Company Limited,1,EQUITY,HBIS COMPANY,000709.SZ,Asia/Shanghai,CST,000709.SZ,4d407f92-13cc-3449-9e9d-93f36001181d
000975.SZ,SHZ,2000-06-08 01:30:00,28800000,"Yintai Gold Co., Ltd.",1,EQUITY,YINTAI GOLD CO LTD,000975.SZ,Asia/Shanghai,CST,000975.SZ,fb615db4-c1f3-30a0-a97a-0f160a3b18ca
002620.KS,KSC,2000-01-04 00:00:00,32400000,Jeil Pharma Holdings Inc,1,EQUITY,JEIL PHARMA HOLDINGS,002620.KS,Asia/Seoul,KST,002620.KS,815d39c9-f2ea-308a-a2ef-03b4d715d202
0065.HK,HKG,2000-01-04 01:30:00,28800000,Grand Ocean Advanced Resources Company Limited,1,EQUITY,GRAND OCEAN AR,0065.HK,Asia/Hong_Kong,HKT,0065.HK,3f6ccff2-5a8f-3634-ad1c-470982a16c0a
00752.TW,TAI,2018-10-24 01:00:00,28800000,CTBC China 50,1,ETF,CHINATRUST COMMERCIAL BANK CHIN,00752.TW,Asia/Taipei,CST,00752.TW,cea33a5a-802a-30ed-8f50-92d2c0790ea9
01UL.Z,ZRH,,3600000,,1,INDEX,STXAP6 GR EUR,01UL.Z,Europe/Zurich,CET,01UL.Z,
026890.KS,KSC,2000-01-04 00:00:00,32400000,"STIC Investments, Inc.",1,EQUITY,STIC Investments,026890.KS,Asia/Seoul,KST,026890.KS,50bfc9c1-260e-39f3-9552-a61395eb7c1a
027V.Z,ZRH,,3600000,,1,INDEX,STXAP6UTI NR EUR,027V.Z,Europe/Zurich,CET,027V.Z,
02H0.SG,STU,2017-08-28 06:00:00,3600000,,1,EQUITY,Hexatronic Group AB,02H0.SG,Europe/Berlin,CET,02H0.SG,ae020e14-2e5b-359e-8937-ce3b6c694e87
03004U.TW,TAI,,28800000,,1,EQUITY,,03004U.TW,Asia/Taipei,CST,03004U.TW,
03034P.TW,TAI,,28800000,,1,EQUITY,,03034P.TW,Asia/Taipei,CST,03034P.TW,
030757.TW,TAI,,28800000,,1,EQUITY,,030757.TW,Asia/Taipei,CST,030757.TW,
030844.TW,TAI,,28800000,,1,EQUITY,,030844.TW,Asia/Taipei,CST,030844.TW,
03174P.TW,TAI,,28800000,,1,EQUITY,,03174P.TW,Asia/Taipei,CST,03174P.TW,
032328.TW,TAI,,28800000,,1,EQUITY,,032328.TW,Asia/Taipei,CST,032328.TW,
032339.TW,TAI,,28800000,,1,EQUITY,,032339.TW,Asia/Taipei,CST,032339.TW,
03244P.TW,TAI,,28800000,,1,EQUITY,,03244P.TW,Asia/Taipei,CST,03244P.TW,
037L.Z,ZRH,,3600000,,1,INDEX,ESTXO+G GR USD,037L.Z,Europe/Zurich,CET,037L.Z,
03AK.BE,BER,,3600000,,1,ETF,ALPS INTL SE.DIV.DOGS ETF,03AK.BE,Europe/Berlin,CET,03AK.BE,
04496P.TW,TAI,,28800000,,1,EQUITY,,04496P.TW,Asia/Taipei,CST,04496P.TW,
04D3.Z,ZRH,,3600000,,1,INDEX,STXNDTMMD GR EUR,04D3.Z,Europe/Zurich,CET,04D3.Z,fecb9c86-f909-3eea-a1b9-f9064ec88109
058450.KQ,KOE,2002-01-18 00:00:00,32400000,"ILYA Co., Ltd",1,EQUITY,ILYA,058450.KQ,Asia/Seoul,KST,058450.KQ,e904fc0d-e97d-352e-805f-2d58558f66b3
058866.TW,TAI,,28800000,,1,EQUITY,,058866.TW,Asia/Taipei,CST,058866.TW,
0599.HK,HKG,2000-04-12 01:30:00,28800000,E. Bon Holdings Limited,1,EQUITY,E. BON HOLDINGS,0599.HK,Asia/Hong_Kong,HKT,0599.HK,2c075fb0-8106-3d9e-8495-78b1181a92d6
05ZY.Z,ZRH,,3600000,,1,INDEX,STX GLOB 3000 R.ES.NR USD,05ZY.Z,Europe/Zurich,CET,05ZY.Z,
07622P.TW,TAI,,28800000,,1,EQUITY,,07622P.TW,Asia/Taipei,CST,07622P.TW,2cf42a27-28d7-358c-b3f9-e1baf899395d
079227.TW,TAI,,28800000,,1,EQUITY,,079227.TW,Asia/Taipei,CST,079227.TW,
079574.TW,TAI,,28800000,,1,EQUITY,,079574.TW,Asia/Taipei,CST,079574.TW,
080177.TW,TAI,,28800000,,1,EQUITY,,080177.TW,Asia/Taipei,CST,080177.TW,
080460.TW,TAI,,28800000,,1,EQUITY,,080460.TW,Asia/Taipei,CST,080460.TW,
0815.Z,ZRH,,3600000,,1,INDEX,STXAU150 PR USD,0815.Z,Europe/Zurich,CET,0815.Z,
081607.TW,TAI,,28800000,,1,EQUITY,,081607.TW,Asia/Taipei,CST,081607.TW,082a7eeb-86f5-3e7d-9b4a-6e00a4d40490
0819.HK,HKG,2007-06-11 01:30:00,28800000,Tianneng Power International Limited,1,EQUITY,TIANNENG POWER,0819.HK,Asia/Hong_Kong,HKT,0819.HK,d751d05d-0abc-37c4-8ed0-75daa7d02ff5
083149.TW,TAI,,28800000,,1,EQUITY,,083149.TW,Asia/Taipei,CST,083149.TW,
083444.TW,TAI,,28800000,,1,EQUITY,,083444.TW,Asia/Taipei,CST,083444.TW,
084042.TW,TAI,,28800000,,1,EQUITY,,084042.TW,Asia/Taipei,CST,084042.TW,
085764.TW,TAI,,28800000,,1,EQUITY,,085764.TW,Asia/Taipei,CST,085764.TW,
085979.TW,TAI,,28800000,,1,EQUITY,,085979.TW,Asia/Taipei,CST,085979.TW,
086360.TW,TAI,,28800000,,1,EQUITY,,086360.TW,Asia/Taipei,CST,086360.TW,
086423.TW,TAI,,28800000,,1,EQUITY,,086423.TW,Asia/Taipei,CST,086423.TW,
087818.TW,TAI,,28800000,,1,EQUITY,,087818.TW,Asia/Taipei,CST,087818.TW,
088439.TW,TAI,,28800000,,1,EQUITY,,088439.TW,Asia/Taipei,CST,088439.TW,
088762.TW,TAI,,28800000,,1,EQUITY,,088762.TW,Asia/Taipei,CST,088762.TW,
088956.TW,TAI,,28800000,,1,EQUITY,,088956.TW,Asia/Taipei,CST,088956.TW,
089387.TW,TAI,,28800000,,1,EQUITY,,089387.TW,Asia/Taipei,CST,089387.TW,
089556.TW,TAI,,28800000,,1,EQUITY,,089556.TW,Asia/Taipei,CST,089556.TW,
089601.TW,TAI,,28800000,,1,EQUITY,,089601.TW,Asia/Taipei,CST,089601.TW,
08ZU.Z,ZRH,,3600000,,1,INDEX,STX CZ TM GR USD,08ZU.Z,Europe/Zurich,CET,08ZU.Z,
095910.KQ,KOE,,32400000,"S-Energy Co.,Ltd.",1,EQUITY,S-ENERGY,095910.KQ,Asia/Seoul,KST,095910.KQ,e0d619d0-caf3-3b25-aa57-389663e0056b
09JK.Z,ZRH,,3600000,,1,INDEX,ESTX 50 DLY.LEV. 5 GR EO,09JK.Z,Europe/Zurich,CET,09JK.Z,
0BL.F,FRA,2011-09-23 06:00:00,3600000,Blue River Resources Ltd.,1,EQUITY,BLUE RIVER RESOURCES LTD,0BL.F,Europe/Berlin,CET,0BL.F,55085fc5-04d6-3d42-a748-30d84df91a8f
0DJ6.DE,GER,,3600000,,1,INDEX,IN.IS.BLOM.RO.SE.CO.USD,0DJ6.DE,Europe/Berlin,CET,0DJ6.DE,
0E0L.IL,IOB,,0,UBS (Lux) Fund Solutions - MSCI Switzerland 20/35 UCITS ETF,1,EQUITY,UBS ETF-MSCI SWITZERLAND 20/35 ,0E0L.IL,Europe/London,GMT,0E0L.IL,16138e33-584b-3e03-9c1a-9fb248928e15
0EW5.Z,ZRH,,3600000,,1,INDEX,STX.GL. IN.SU. 50 NR EO,0EW5.Z,Europe/Zurich,CET,0EW5.Z,
