symbol,exchange,firstTradeDateEpochUtc,gmtOffSetMilliseconds,longName,maxAge,quoteType,shortName,symbol,timeZoneFullName,timeZoneShortName,underlyingSymbol,uuid
000101.SS,SHH,,28800000,,1,INDEX,SSE 5-Year Credit Bond Index In,000101.SS,Asia/Shanghai,CST,000101.SS,
000520.KS,KSC,2000-01-04 00:00:00,32400000,"Samil Pharmaceutical Co.,Ltd",1,EQUITY,SamilPharm,000520.KS,Asia/Seoul,KST,000520.KS,0a771280-90aa-301b-90d8-633c05f33566
000526.SZ,SHZ,1993-11-01 01:30:00,28800000,"Xueda (Xiamen) Education Technology Group Co., Ltd.",1,EQUITY,XUEDA (XIAMEN) EDU,000526.SZ,Asia/Shanghai,CST,000526.SZ,d10e9cee-2fba-306c-b756-6a5dd6cfdd9c
000663.SZ,SHZ,1996-12-06 01:30:00,28800000,"Fujian Yongan Forestry(Group)Joint -Stock Co.,Ltd.",1,EQUITY,FUJIAN YONGAN FRST,000663.SZ,Asia/Shanghai,CST,000663.SZ,aeda62e7-3d67-3bd4-b1b8-c90961ebeba9
000799.SZ,SHZ,1997-07-18 02:30:00,28800000,"Jiugui Liquor Co., Ltd.",1,EQUITY,JIUGUI LIQUOR CO,000799.SZ,Asia/Shanghai,CST,000799.SZ,05099fce-912b-3567-9ca4-167b56f75779
000926.SZ,SHZ,1999-06-18 02:30:00,28800000,"Hubei Fuxing Science and Technology Co.,Ltd",1,EQUITY,HBFX S&TECHNOLOGY,000926.SZ,Asia/Shanghai,CST,000926.SZ,76d4cdd3-f05b-30c9-91e8-47fb2ad42b3d
001130.KS,KSC,2000-01-04 00:00:00,32400000,"Daehan Flour Mills Co.,Ltd",1,EQUITY,DaehanFlrMill,001130.KS,Asia/Seoul,KST,001130.KS,c02b4056-a6ae-3aa5-8652-2fd04f6e0b5f
001465.KS,KSC,2005-09-29 01:00:00,32400000,"BYC Co., Ltd.",1,EQUITY,BYC(1P),001465.KS,Asia/Seoul,KST,001465.KS,1a397b4c-484c-30fb-a1ca-c1ed41e00d01
002640.SZ,SHZ,2011-12-08 01:30:00,28800000,"Global Top E-Commerce Co., Ltd.",1,EQUITY,GLOBAL TOP E-COMME,002640.SZ,Asia/Shanghai,CST,002640.SZ,79ee759e-302e-31d7-b9ae-b9f56f5598ee
002719.SZ,SHZ,2014-01-28 01:30:00,28800000,"Maiquer Group CO.,LTD",1,EQUITY,MAIQUER GROUP CO L,002719.SZ,Asia/Shanghai,CST,002719.SZ,376840ef-5dac-3295-91bb-791fcb7c9d2b
