symbol,exchange,firstTradeDateEpochUtc,gmtOffSetMilliseconds,longName,maxAge,quoteType,shortName,symbol,timeZoneFullName,timeZoneShortName,underlyingSymbol,uuid
HAYEK,Quote not found for ticker symbol: HAYEK,Quote not found for ticker symbol: HAYEK,Quote not found for ticker symbol: HAYEK,Quote not found for ticker symbol: HAYEK,Quote not found for ticker symbol: HAYEK,Quote not found for ticker symbol: HAYEK,Quote not found for ticker symbol: HAYEK,Quote not found for ticker symbol: HAYEK,Quote not found for ticker symbol: HAYEK,Quote not found for ticker symbol: HAYEK,Quote not found for ticker symbol: HAYEK,Quote not found for ticker symbol: HAYEK
A.MX,MEX,2018-12-03 14:30:00,-21600000,"Agilent Technologies, Inc.",1,EQUITY,AGILENT TECHNOLOGIES INC,A.MX,America/Mexico_City,CST,A.MX,baab3f3e-a2ef-3cb4-af23-cf177f545b58
002017.SZ,SHZ,2004-07-13 02:30:00,28800000,"Eastcompeace Technology Co.,ltd",1,EQUITY,EASTCOMPEACE TECH,002017.SZ,Asia/Shanghai,CST,002017.SZ,e3a4b2ea-26d3-31d6-99d7-33a556df9c80
002072.SZ,SHZ,2006-10-18 02:30:00,28800000,Kairuide Holding Co.Ltd,1,EQUITY,KAIRUIDE HOLDING C,002072.SZ,Asia/Shanghai,CST,002072.SZ,509a10c4-cd2f-3374-b115-40403e8bcc73
002117.SZ,SHZ,2007-03-02 01:30:00,28800000,Tungkong Inc.,1,EQUITY,TUNGKONG INC,002117.SZ,Asia/Shanghai,CST,002117.SZ,3f21d4f2-8eb7-3412-9f55-6ce47f58de24
002348.SZ,SHZ,2010-02-03 01:30:00,28800000,"Goldlok Holdings(Guangdong) Co.,Ltd.",1,EQUITY,GOLDLOK HOLDINGS,002348.SZ,Asia/Shanghai,CST,002348.SZ,6a1241df-baed-3d23-b881-30a19e3fa380
002781.SZ,SHZ,2015-12-29 01:30:00,28800000,"Jiangxi Qixin Group Co., Ltd.",1,EQUITY,JIANGXI QIXIN GROU,002781.SZ,Asia/Shanghai,CST,002781.SZ,1ae16903-fbe2-3594-82ec-a2188b948b5f
003009.SZ,SHZ,2020-09-25 02:30:00,28800000,"Shaanxi Zhongtian Rocket Technology Co., Ltd",1,EQUITY,SHAANXI ZHONGTIAN,003009.SZ,Asia/Shanghai,CST,003009.SZ,ccfa0526-c23e-38fe-b62a-338f57e97f16
004140.KS,KSC,2005-09-29 01:00:00,32400000,"Dongbang Transport Logistics Co., Ltd.",1,EQUITY,DongbangTrnspt&Log,004140.KS,Asia/Seoul,KST,004140.KS,f15385a2-7817-34a0-a88c-6f088e186f80
008260.KS,KSC,2000-01-04 00:00:00,32400000,"Ni Steel Co.,Ltd",1,EQUITY,NI STEEL,008260.KS,Asia/Seoul,KST,008260.KS,6335826a-425d-3b86-88c9-3213d5e38dcf
0098.Z,ZRH,,3600000,,1,INDEX,ISTX M.G.EX A.Q.D300PR DL,0098.Z,Europe/Zurich,CET,0098.Z,
00AQ.Z,ZRH,,3600000,,1,INDEX,STX G.1800E.JA.L.CA.GR DL,00AQ.Z,Europe/Zurich,CET,00AQ.Z,
00HW.Z,ZRH,,3600000,,1,INDEX,STX ESG LD.FO.FR.EZ GR EO,00HW.Z,Europe/Zurich,CET,00HW.Z,
0202.KL,KLS,2018-07-24 02:00:00,28800000,,1,EQUITY,RGTECH,0202.KL,Asia/Kuala_Lumpur,MYT,0202.KL,19d05a83-282d-32c3-a11e-7b5bb7f58637
0240.KL,KLS,2022-01-20 01:00:00,28800000,,1,EQUITY,CORAZA,0240.KL,Asia/Kuala_Lumpur,MYT,0240.KL,4e3fc061-1c85-3db6-97d5-dc7ef1a9be2d
027710.KQ,KOE,,32400000,"FarmStory Co., Ltd.",1,EQUITY,FarmStory,027710.KQ,Asia/Seoul,KST,027710.KQ,2e01c2e4-2a16-377e-9b6c-fa49d8b34f40
02WD.Z,ZRH,,3600000,,1,INDEX,STX UK50 RC.20P.RV NR EO,02WD.Z,Europe/Zurich,CET,02WD.Z,
030651.TW,TAI,,28800000,,1,EQUITY,,030651.TW,Asia/Taipei,CST,030651.TW,
030901.TW,TAI,,28800000,,1,EQUITY,,030901.TW,Asia/Taipei,CST,030901.TW,
031183.TW,TAI,,28800000,,1,EQUITY,,031183.TW,Asia/Taipei,CST,031183.TW,
03144U.TW,TAI,,28800000,,1,EQUITY,,03144U.TW,Asia/Taipei,CST,03144U.TW,
032082.TW,TAI,,28800000,,1,EQUITY,,032082.TW,Asia/Taipei,CST,032082.TW,
032206.TW,TAI,,28800000,,1,EQUITY,,032206.TW,Asia/Taipei,CST,032206.TW,
032610.TW,TAI,,28800000,,1,EQUITY,,032610.TW,Asia/Taipei,CST,032610.TW,
032743.TW,TAI,,28800000,,1,EQUITY,,032743.TW,Asia/Taipei,CST,032743.TW,
03916P.TW,TAI,,28800000,,1,EQUITY,,03916P.TW,Asia/Taipei,CST,03916P.TW,
040C.Z,ZRH,,3600000,,1,INDEX,STXEXFR GR EUR,040C.Z,Europe/Zurich,CET,040C.Z,
04353P.TW,TAI,,28800000,,1,EQUITY,,04353P.TW,Asia/Taipei,CST,04353P.TW,
043K.Z,ZRH,,3600000,,1,INDEX,STX GLOB 3000 PR EUR,043K.Z,Europe/Zurich,CET,043K.Z,
0498.Z,ZRH,,3600000,,1,INDEX,STXEDTM PR USD,0498.Z,Europe/Zurich,CET,0498.Z,
049V.Z,ZRH,,3600000,,1,INDEX,STXAFTM PR EUR,049V.Z,Europe/Zurich,CET,049V.Z,
04PD.Z,ZRH,,3600000,,1,INDEX,STX GLB.BAS.DIV.SEL.NR EO,04PD.Z,Europe/Zurich,CET,04PD.Z,
04S3.Z,ZRH,,3600000,,1,INDEX,ESTX INSUR. 30-15 GR USD,04S3.Z,Europe/Zurich,CET,04S3.Z,
056K.Z,ZRH,,3600000,,1,INDEX,STXES30 GR EUR,056K.Z,Europe/Zurich,CET,056K.Z,
05NQ.Z,ZRH,,3600000,,1,INDEX,STX EU.LOW CA.SE.50 GR EO,05NQ.Z,Europe/Zurich,CET,05NQ.Z,
07031P.TW,TAI,,28800000,,1,EQUITY,,07031P.TW,Asia/Taipei,CST,07031P.TW,
078350.KQ,KOE,2004-05-17 01:00:00,32400000,"Hanyang Digitech Co., Ltd.",1,EQUITY,HANYANG DIGI,078350.KQ,Asia/Seoul,KST,078350.KQ,d5dc37b3-22a4-3857-a80a-be27184aa63f
07X.BE,BER,2020-07-09 07:00:00,3600000,,1,EQUITY,"ANNOVIS BIO INC. DL-,0001",07X.BE,Europe/Berlin,CET,07X.BE,07e6c361-9a47-39d8-bcef-24f0aef7ffc6
080864.TW,TAI,,28800000,,1,EQUITY,,080864.TW,Asia/Taipei,CST,080864.TW,
081394.TW,TAI,,28800000,,1,EQUITY,,081394.TW,Asia/Taipei,CST,081394.TW,18c6954d-420b-3d6e-87da-57c6222e7188
08143P.TW,TAI,,28800000,,1,EQUITY,,08143P.TW,Asia/Taipei,CST,08143P.TW,
081724.TW,TAI,,28800000,,1,EQUITY,,081724.TW,Asia/Taipei,CST,081724.TW,
