symbol,exchange,firstTradeDateEpochUtc,gmtOffSetMilliseconds,longName,maxAge,quoteType,shortName,symbol,timeZoneFullName,timeZoneShortName,underlyingSymbol,uuid
002267.SZ,SHZ,2008-08-01 01:30:00,28800000,"Shaanxi Provincial Natural Gas Co.,Ltd",1,EQUITY,SHAANXI PROVINCIAL,002267.SZ,Asia/Shanghai,CST,002267.SZ,d28e88e2-e8ec-3c32-a03c-e01af0cb1404
002415.SZ,SHZ,2010-12-20 01:30:00,28800000,"Hangzhou Hikvision Digital Technology Co., Ltd.",1,EQUITY,HANGZHOU HIKVISION,002415.SZ,Asia/Shanghai,CST,002415.SZ,54dd5599-6804-3ee2-aa03-9468580d9c52
002523.SZ,SHZ,2010-12-10 01:30:00,28800000,"Zhuzhou Tianqiao Crane Co., Ltd.",1,EQUITY,ZHUZHOU TIANQIAO C,002523.SZ,Asia/Shanghai,CST,002523.SZ,2a0c9abe-f24e-315f-bb80-b2c0a85d3b7a
002532.SZ,SHZ,2010-12-31 01:30:00,28800000,"Tianshan Aluminum Group Co.,Ltd",1,EQUITY,TIANSHAN ALUMINUM,002532.SZ,Asia/Shanghai,CST,002532.SZ,e39561df-e532-37ea-9053-a0c6c8f26ed3
00651R.TW,TAI,2016-01-13 01:00:00,28800000,Fuh Hwa Daily Hang Seng Inversed ETF,1,ETF,FUH HWA SECURITIES INVESTMENT T,00651R.TW,Asia/Taipei,CST,00651R.TW,c5b9d0e6-39cd-360e-920d-4a3e57d53015
00LE.BE,BER,,3600000,,1,ETF,ADVSH.TR.-NEWF.M.-SEC.IN.,00LE.BE,Europe/Berlin,CET,00LE.BE,
012170.KS,KSC,2000-01-04 00:00:00,32400000,"Ascendio Co., Ltd.",1,EQUITY,Ascendio,012170.KS,Asia/Seoul,KST,012170.KS,085dcaaa-1313-313f-b86f-cfdb0dc0da9f
01D6.BE,BER,,3600000,,1,ETF,ISHS TR.-MSCI INDIA ETF,01D6.BE,Europe/Berlin,CET,01D6.BE,
023590.KS,KSC,2000-01-04 00:00:00,32400000,Daou Technology Inc.,1,EQUITY,DaouTech,023590.KS,Asia/Seoul,KST,023590.KS,b768e878-086b-34fc-8df2-c33436a6d65b
0255.BE,BER,,3600000,,1,ETF,TOTAL CORP.BD DLD,0255.BE,Europe/Berlin,CET,LUN.BE,
030141.TW,TAI,,28800000,,1,EQUITY,,030141.TW,Asia/Taipei,CST,030141.TW,
03033U.TW,TAI,,28800000,,1,EQUITY,,03033U.TW,Asia/Taipei,CST,03033U.TW,
030429.TW,TAI,,28800000,,1,EQUITY,,030429.TW,Asia/Taipei,CST,030429.TW,
030764.TW,TAI,,28800000,,1,EQUITY,,030764.TW,Asia/Taipei,CST,030764.TW,
030969.TW,TAI,,28800000,,1,EQUITY,,030969.TW,Asia/Taipei,CST,030969.TW,
031125.TW,TAI,,28800000,,1,EQUITY,,031125.TW,Asia/Taipei,CST,031125.TW,
031397.TW,TAI,,28800000,,1,EQUITY,,031397.TW,Asia/Taipei,CST,031397.TW,
0322.Z,ZRH,,3600000,,1,INDEX,STX GL.1800 E.A.MVU GR EO,0322.Z,Europe/Zurich,CET,0322.Z,
032294.TW,TAI,,28800000,,1,EQUITY,,032294.TW,Asia/Taipei,CST,032294.TW,
041930.KQ,KOE,2001-12-27 00:00:00,32400000,"Dong-A Hwa Sung Co.,Ltd.",1,EQUITY,DONGAHWASUNG,041930.KQ,Asia/Seoul,KST,041930.KQ,b928ed31-a69a-3c69-9319-b8026589f9c5
04703P.TW,TAI,,28800000,,1,EQUITY,,04703P.TW,Asia/Taipei,CST,04703P.TW,0ff45ab0-65d2-3f38-b5d9-b9657d159a33
047Z.Z,ZRH,,3600000,,1,INDEX,STXG18XFR NR EUR,047Z.Z,Europe/Zurich,CET,047Z.Z,
058650.KS,KSC,2001-07-31 00:00:00,32400000,SeAH Holdings Corporation,1,EQUITY,SAH,058650.KS,Asia/Seoul,KST,058650.KS,4334318f-4714-3fd1-a248-750c3559124c
05D6.Z,ZRH,,3600000,,1,INDEX,STXCA240 USD UTILGR,05D6.Z,Europe/Zurich,CET,05D6.Z,
05HT.Z,ZRH,,3600000,,1,INDEX,ESTX REAL EST.30-15 GR DL,05HT.Z,Europe/Zurich,CET,05HT.Z,
