symbol,exchange,firstTradeDateEpochUtc,gmtOffSetMilliseconds,longName,maxAge,quoteType,shortName,symbol,timeZoneFullName,timeZoneShortName,underlyingSymbol,uuid
000518.SZ,SHZ,1993-09-08 02:30:00,28800000,"Jiangsu Sihuan Bioengineering Co., Ltd",1,EQUITY,JIANGSU SIHUAN BIO,000518.SZ,Asia/Shanghai,CST,000518.SZ,caf8add9-b5c0-32c7-88a4-06b40c78ca95
000692.SZ,SHZ,1997-02-27 01:30:00,28800000,"Shenyang Huitian Thermal Power Co.,Ltd",1,EQUITY,S/HT THERMAL POWER,000692.SZ,Asia/Shanghai,CST,000692.SZ,77420afa-707b-378c-9a31-87f7caf22a56
000829.SZ,SHZ,1997-12-02 01:30:00,28800000,"Telling Telecommunication Holding Co.,Ltd",1,EQUITY,TELLING TELECOMMUN,000829.SZ,Asia/Shanghai,CST,000829.SZ,16bab93a-bf65-3c4b-9832-92ce7156239f
000918.SS,SHH,,28800000,Calxon,1,INDEX,CSI 300 Growth Index,000918.SS,Asia/Shanghai,CST,000918.SS,9dc7ae5c-81cb-3cff-9454-065d5c529201
002103.SZ,SHZ,2007-01-10 01:30:00,28800000,"Guangbo Group Stock Co., Ltd.",1,EQUITY,GUANGBO GROUP STOC,002103.SZ,Asia/Shanghai,CST,002103.SZ,979bbc06-6fe4-3704-819b-e9ac755f6248
002245.SZ,SHZ,2008-05-27 02:30:00,28800000,Jiangsu Azure Corporation,1,EQUITY,JIANGSU AZURE CORP,002245.SZ,Asia/Shanghai,CST,002245.SZ,efec81f9-11fb-3ddf-b3ad-865819a0a328
002373.SZ,SHZ,2010-03-18 01:30:00,28800000,"China Transinfo Technology Co., Ltd",1,EQUITY,CHINA TRANSINFO TE,002373.SZ,Asia/Shanghai,CST,002373.SZ,7c56815d-7284-3bdb-9e3a-4074b857e536
002441.SZ,SHZ,2010-07-06 02:30:00,28800000,"Zhongyeda Electric Co., Ltd.",1,EQUITY,ZHONGYEDA ELECTRIC,002441.SZ,Asia/Shanghai,CST,002441.SZ,cc6d5503-5fde-36f7-af8c-8f43ee180003
003030.KS,KSC,2005-09-29 01:00:00,32400000,SeAH Steel Holdings Corporation,1,EQUITY,SeAH Steel Holdings,003030.KS,Asia/Seoul,KST,003030.KS,1676ae4a-ee36-30f5-8ff2-03e329976e2f
0064.Z,ZRH,,3600000,,1,INDEX,STXE LOW CARBON 100 GR DL,0064.Z,Europe/Zurich,CET,0064.Z,
0065.Z,ZRH,,3600000,,1,INDEX,STXE LOW CARB.50 EW PR EO,0065.Z,Europe/Zurich,CET,0065.Z,
0081.HK,HKG,2000-01-04 01:30:00,28800000,China Overseas Grand Oceans Group Limited,1,EQUITY,CH OVS G OCEANS,0081.HK,Asia/Hong_Kong,HKT,0081.HK,981c15f8-84be-3f47-b8bd-82bf63611c92
0085.HK,HKG,2002-12-10 01:30:00,28800000,China Electronics Huada Technology Company Limited,1,EQUITY,CE HUADA TECH,0085.HK,Asia/Hong_Kong,HKT,0085.HK,7b13e167-8c46-361d-8c3c-e4f31b0a4f74
009X.Z,ZRH,,3600000,,1,INDEX,STX EM 800 LO MIN.VAR.PR,009X.Z,Europe/Zurich,CET,009X.Z,
