symbol,exchange,firstTradeDateEpochUtc,gmtOffSetMilliseconds,longName,maxAge,quoteType,shortName,symbol,timeZoneFullName,timeZoneShortName,underlyingSymbol,uuid
TASAUSM3.MX,YHD,2006-11-30 14:30:00,-18000000,+TASAUS M3,1,MUTUALFUND,+TASAUS M3,TASAUSM3.MX,America/New_York,EST,TASAUSM3.MX,2b4ed3ab-5818-3077-9aa7-b0091692ca35
000338.SZ,SHZ,2007-04-30 02:30:00,28800000,"Weichai Power Co., Ltd.",1,EQUITY,WEICHAI POWER CO,000338.SZ,Asia/Shanghai,CST,000338.SZ,71afbab6-731c-30bf-abe4-fdbe50e1e7d9
000660.KS,KSC,2000-01-04 00:00:00,32400000,SK hynix Inc.,1,EQUITY,SK hynix,000660.KS,Asia/Seoul,KST,000660.KS,cb3ee4b6-71a9-3aa1-83d4-6322987042ad
000681.SZ,SHZ,1997-01-21 01:30:00,28800000,"Visual China Group Co.,Ltd.",1,EQUITY,VISUAL CHINA GROUP,000681.SZ,Asia/Shanghai,CST,000681.SZ,7b76c672-85ed-3cd6-a03e-19abce7d9032
000702.SZ,SHZ,1997-03-18 01:30:00,28800000,"Hunan Zhenghong Science and Technology Develop Co.,Ltd.",1,EQUITY,HUNAN ZHENGHONG SC,000702.SZ,Asia/Shanghai,CST,000702.SZ,3fab8bb5-44ec-3cff-9e8b-34adc75f16c0
000936.SS,SHH,,28800000,H.X.C.,1,INDEX,CSI Telecommunication Services ,000936.SS,Asia/Shanghai,CST,000936.SS,0c2d0fbd-33e8-3645-9310-f4c71676b4d3
000979.SS,SHH,,28800000,,1,INDEX,CSI Commodity Equity Index,000979.SS,Asia/Shanghai,CST,000979.SS,
0021.KL,KLS,2003-04-09 02:00:00,28800000,,1,EQUITY,GHLSYS,0021.KL,Asia/Kuala_Lumpur,MYT,0021.KL,09d4ce19-637f-3644-870c-8fedae1dbb47
0078.HK,HKG,2002-10-18 02:30:00,28800000,Regal Hotels International Holdings Limited,1,EQUITY,REGAL INT'L,0078.HK,Asia/Hong_Kong,HKT,0078.HK,a9bd86b2-169c-3355-8b64-bef101299dde
008420.KS,KSC,2000-01-04 00:00:00,32400000,"Moonbaesteel Co.,Ltd",1,EQUITY,MoonbaeStl,008420.KS,Asia/Seoul,KST,008420.KS,3e300691-7e80-3795-9e90-1290124c8cd4
009440.KS,KSC,2000-01-04 00:00:00,32400000,"KC Green Holdings Co., Ltd.",1,EQUITY,KC Green Holdings,009440.KS,Asia/Seoul,KST,009440.KS,efea29e0-6684-3c9d-bd7b-f450bdc76323
009U.Z,ZRH,,3600000,,1,INDEX,STX EM 800 LO MIN.VAR.PR,009U.Z,Europe/Zurich,CET,009U.Z,
00KP.Z,ZRH,,3600000,,1,INDEX,ISTX M.G.EX J.Q.150 GR DL,00KP.Z,Europe/Zurich,CET,00KP.Z,
00O2.Z,ZRH,,3600000,,1,INDEX,EO ISTX 50 DLY.SH.PR USD,00O2.Z,Europe/Zurich,CET,00O2.Z,
010050.KS,KSC,2005-09-29 01:00:00,32400000,"Woori Investment Bank Co.,Ltd.",1,EQUITY,WIB,010050.KS,Asia/Seoul,KST,010050.KS,deb6b178-c884-34e6-8b23-77737ae89e00
0122.HK,HKG,2000-01-10 01:30:00,28800000,Crocodile Garments Limited,1,EQUITY,CROCODILE,0122.HK,Asia/Hong_Kong,HKT,0122.HK,792d4f1a-6d22-3051-9ba6-28a86c130848
0189.KL,KLS,2017-01-18 01:00:00,28800000,,1,EQUITY,MATANG,0189.KL,Asia/Kuala_Lumpur,MYT,0189.KL,5188bc03-4446-3f05-94e6-4bb4191cc594
0223.BE,BER,2020-02-18 07:00:00,3600000,,1,EQUITY,"SIGMA ADDITIVE SO.DL-,001",0223.BE,Europe/Berlin,CET,0223.BE,5378c7c1-307d-3527-b5c5-68cc26f2cbce
023W.Z,ZRH,,3600000,,1,INDEX,STXG30XEA PR EUR,023W.Z,Europe/Zurich,CET,023W.Z,
0265.Z,ZRH,,3600000,,1,INDEX,STX HK 50 D.SH.I.GR EO,0265.Z,Europe/Zurich,CET,0265.Z,
02H0.F,FRA,2015-12-21 07:00:00,3600000,Hexatronic Group AB (publ),1,EQUITY,HEXATRONIC GROUP AB AK,02H0.F,Europe/Berlin,CET,02H0.F,e9ed49e4-ad1c-383d-a844-be1815315de7
030049.TW,TAI,,28800000,,1,EQUITY,,030049.TW,Asia/Taipei,CST,030049.TW,
030112.TW,TAI,,28800000,,1,EQUITY,,030112.TW,Asia/Taipei,CST,030112.TW,
030127.TW,TAI,,28800000,,1,EQUITY,,030127.TW,Asia/Taipei,CST,030127.TW,
030156.TW,TAI,,28800000,,1,EQUITY,,030156.TW,Asia/Taipei,CST,030156.TW,
030534.TW,TAI,,28800000,,1,EQUITY,,030534.TW,Asia/Taipei,CST,030534.TW,
030585.TW,TAI,,28800000,,1,EQUITY,,030585.TW,Asia/Taipei,CST,030585.TW,
031229.TW,TAI,,28800000,,1,EQUITY,,031229.TW,Asia/Taipei,CST,031229.TW,
031X.Z,ZRH,,3600000,,1,INDEX,STX GBL.INFR.OWN.GR EUR,031X.Z,Europe/Zurich,CET,031X.Z,
