symbol,exchange,firstTradeDateEpochUtc,gmtOffSetMilliseconds,longName,maxAge,quoteType,shortName,symbol,timeZoneFullName,timeZoneShortName,underlyingSymbol,uuid
TASAPRME1.MX,YHD,,-18000000,+TASARV ME1,1,MUTUALFUND,+TASARV ME1,TASAPRME1.MX,America/New_York,EST,TASAPRME1.MX,f6599d60-d726-357b-aa3c-6d9223c7fece
000029.SZ,SHZ,1993-09-15 02:30:00,28800000,"Shenzhen Special Economic Zone Real Estate & Properties (Group) Co., Ltd.",1,EQUITY,SHN SEZ REAL EST,000029.SZ,Asia/Shanghai,CST,000029.SZ,5e4c2067-c10b-3085-9093-21f18bd6770f
000051.SS,SHH,,28800000,,1,INDEX,SSE 180 Equal Weight Index Inde,000051.SS,Asia/Shanghai,CST,000051.SS,
001250.KS,KSC,2000-01-04 00:00:00,32400000,GS Global Corp.,1,EQUITY,GS Global,001250.KS,Asia/Seoul,KST,001250.KS,4f3c014a-5ffa-3443-8ef0-0d1e0a029f55
002254.SZ,SHZ,2008-06-17 02:30:00,28800000,"Yantai Tayho Advanced Materials Co., Ltd.",1,EQUITY,TAYHO ADVANCED MAT,002254.SZ,Asia/Shanghai,CST,002254.SZ,4d605e9d-d74c-36a2-864a-b952e58df408
002295.SZ,SHZ,2009-09-29 02:30:00,28800000,"Guangdong JingYi Metal CO.,Ltd",1,EQUITY,GUANGDONG JINGYI M,002295.SZ,Asia/Shanghai,CST,002295.SZ,fc41d9d7-7132-335d-8721-8e970cecc394
002343.SZ,SHZ,2010-01-26 01:30:00,28800000,"Ciwen Media Co.,Ltd.",1,EQUITY,CIWEN MEDIA CO LTD,002343.SZ,Asia/Shanghai,CST,002343.SZ,62056726-62ac-3175-93e2-692545ca87ec
002487.SZ,SHZ,2010-10-15 02:30:00,28800000,Dajin Heavy Industry Corporation,1,EQUITY,DAJIN HEAVY INDUST,002487.SZ,Asia/Shanghai,CST,002487.SZ,346be767-e7b7-3591-b267-86ad3a38ba63
002657.SZ,SHZ,2012-02-28 01:30:00,28800000,"Sinodata Co., Ltd.",1,EQUITY,SINODATA CO LTD,002657.SZ,Asia/Shanghai,CST,002657.SZ,6afa2b09-5a30-3589-96ea-7d2eadfff60f
002887.SZ,SHZ,2017-08-02 02:30:00,28800000,"Tianjin LVYIN Landscape and Ecology Construction Co., Ltd",1,EQUITY,TIANJIN LVYIN LAND,002887.SZ,Asia/Shanghai,CST,002887.SZ,84393920-20f8-37ce-bafa-626eb16d0a4e
00771.TW,TAI,2019-04-25 02:00:00,28800000,Yuanta S&P U.S. High Yield Preferred Stock ETF,1,ETF,YUANTA SECURITIES INV TRUST CO ,00771.TW,Asia/Taipei,CST,00771.TW,bd759462-95fc-31e8-9742-89c9b43ad3ad
011200.KS,KSC,2000-01-04 00:00:00,32400000,"HMM Co.,Ltd",1,EQUITY,HMM,011200.KS,Asia/Seoul,KST,011200.KS,bdf74725-0efb-3885-b74e-786c160129fe
0190.KL,KLS,2017-04-25 02:00:00,28800000,,1,EQUITY,ESAFE,0190.KL,Asia/Kuala_Lumpur,MYT,0190.KL,d2eb0831-7fd3-3aae-9807-b618255dab83
02I2.Z,ZRH,,3600000,,1,INDEX,STX G.1800E.AU.L.CA.PR DL,02I2.Z,Europe/Zurich,CET,02I2.Z,
02IH.Z,ZRH,,3600000,,1,INDEX,STXE LOW CARB.FOOTP.PR EO,02IH.Z,Europe/Zurich,CET,02IH.Z,
030511.TW,TAI,,28800000,,1,EQUITY,,030511.TW,Asia/Taipei,CST,030511.TW,
030550.TW,TAI,,28800000,,1,EQUITY,,030550.TW,Asia/Taipei,CST,030550.TW,
030600.TW,TAI,,28800000,,1,EQUITY,,030600.TW,Asia/Taipei,CST,030600.TW,
030606.TW,TAI,,28800000,,1,EQUITY,,030606.TW,Asia/Taipei,CST,030606.TW,
030724.TW,TAI,,28800000,,1,EQUITY,,030724.TW,Asia/Taipei,CST,030724.TW,
03077U.TW,TAI,,28800000,,1,EQUITY,,03077U.TW,Asia/Taipei,CST,03077U.TW,
030879.TW,TAI,,28800000,,1,EQUITY,,030879.TW,Asia/Taipei,CST,030879.TW,
030950.TW,TAI,,28800000,,1,EQUITY,,030950.TW,Asia/Taipei,CST,030950.TW,
031935.TW,TAI,,28800000,,1,EQUITY,,031935.TW,Asia/Taipei,CST,031935.TW,
032076.TW,TAI,,28800000,,1,EQUITY,,032076.TW,Asia/Taipei,CST,032076.TW,
032640.TW,TAI,,28800000,,1,EQUITY,,032640.TW,Asia/Taipei,CST,032640.TW,
032725.TW,TAI,,28800000,,1,EQUITY,,032725.TW,Asia/Taipei,CST,032725.TW,
03446P.TW,TAI,,28800000,,1,EQUITY,,03446P.TW,Asia/Taipei,CST,03446P.TW,
03597P.TW,TAI,,28800000,,1,EQUITY,,03597P.TW,Asia/Taipei,CST,03597P.TW,
037370.KQ,KOE,2000-02-11 00:00:00,32400000,EG Corporation,1,EQUITY,EG,037370.KQ,Asia/Seoul,KST,037370.KQ,bcb47c7e-13e2-3fb3-ad86-0df36e149630
0374.Z,ZRH,,3600000,,1,INDEX,STXG30XEA GR USD,0374.Z,Europe/Zurich,CET,0374.Z,
03LL.Z,ZRH,,3600000,,1,INDEX,STXIDTM GR USD,03LL.Z,Europe/Zurich,CET,03LL.Z,
03TB.Z,ZRH,,3600000,,1,INDEX,STXPKTM PR EUR,03TB.Z,Europe/Zurich,CET,03TB.Z,
04865P.TW,TAI,,28800000,,1,EQUITY,,04865P.TW,Asia/Taipei,CST,04865P.TW,
04D7.Z,ZRH,,3600000,,1,INDEX,STXE6XHK GR EUR,04D7.Z,Europe/Zurich,CET,04D7.Z,
05788P.TW,TAI,,28800000,,1,EQUITY,,05788P.TW,Asia/Taipei,CST,05788P.TW,
06526P.TW,TAI,,28800000,,1,EQUITY,,06526P.TW,Asia/Taipei,CST,06526P.TW,
0718.HK,HKG,2005-09-29 02:30:00,28800000,Tai United Holdings Limited,1,EQUITY,TAI UNITED HOLD,0718.HK,Asia/Hong_Kong,HKT,0718.HK,2a83d1ac-61bd-389f-8579-18de826316be
077939.TW,TAI,,28800000,,1,EQUITY,,077939.TW,Asia/Taipei,CST,077939.TW,
077991.TW,TAI,,28800000,,1,EQUITY,,077991.TW,Asia/Taipei,CST,077991.TW,
078620.TW,TAI,,28800000,,1,EQUITY,,078620.TW,Asia/Taipei,CST,078620.TW,
079060.TW,TAI,,28800000,,1,EQUITY,,079060.TW,Asia/Taipei,CST,079060.TW,
080719.TW,TAI,,28800000,,1,EQUITY,,080719.TW,Asia/Taipei,CST,080719.TW,
080928.TW,TAI,,28800000,,1,EQUITY,,080928.TW,Asia/Taipei,CST,080928.TW,
081077.TW,TAI,,28800000,,1,EQUITY,,081077.TW,Asia/Taipei,CST,081077.TW,b5ecacb4-ab61-3587-9523-4d2738b5ce5c
081578.TW,TAI,,28800000,,1,EQUITY,,081578.TW,Asia/Taipei,CST,081578.TW,e9ea6c46-6ff2-3037-9f9e-e6e42dd6a292
081622.TW,TAI,,28800000,,1,EQUITY,,081622.TW,Asia/Taipei,CST,081622.TW,a10bd343-c9b2-386d-9b0b-3ef85700dee9
