symbol,exchange,firstTradeDateEpochUtc,gmtOffSetMilliseconds,longName,maxAge,quoteType,shortName,symbol,timeZoneFullName,timeZoneShortName,underlyingSymbol,uuid
TASAME2.MX,YHD,2008-02-29 14:30:00,-18000000,+Tasa SA de Cv S.I.I.D.,1,MUTUALFUND,+Tasa SA de Cv S.I.I.D.,TASAME2.MX,America/New_York,EST,TASAME2.MX,b48fb0ad-1b48-3a71-bc23-687f1b6d1517
000790.SZ,SHZ,1998-03-27 01:30:00,28800000,"Chengdu Huasun Technology Group Inc., Ltd.",1,EQUITY,CHENGDU HUASUN TEC,000790.SZ,Asia/Shanghai,CST,000790.SZ,879876b7-0941-3b10-aeb4-1d08cacbc6cd
001234.SZ,SHZ,2022-01-11 01:30:00,28800000,"Jiiangsu Times Textile Technology Co.,LTD",1,EQUITY,JIANGSU TIMES TEXT,001234.SZ,Asia/Shanghai,CST,001234.SZ,43e6f947-d514-333d-ab51-d584b78ae463
001790.KS,KSC,2000-01-04 00:00:00,32400000,TS Corporation,1,EQUITY,TS,001790.KS,Asia/Seoul,KST,001790.KS,2f36c3d3-b9f5-38da-9bef-f096c867881c
002053.SZ,SHZ,2006-06-27 02:30:00,28800000,"Yunnan Energy Investment Co., Ltd.",1,EQUITY,YUNNAN ENERGY INVE,002053.SZ,Asia/Shanghai,CST,002053.SZ,e3ad8cf0-4af1-39d5-b008-55532de5fc3c
002094.SZ,SHZ,2006-12-15 01:30:00,28800000,"Qingdao Kingking Applied Chemistry Co., Ltd.",1,EQUITY,QINGDAO KINGKING A,002094.SZ,Asia/Shanghai,CST,002094.SZ,842edec4-c35f-3e41-9acc-ac5688874fe3
002543.SZ,SHZ,2011-01-28 01:30:00,28800000,"Guangdong Vanward New Electric Co., Ltd.",1,EQUITY,GUANGDONG VANWARD,002543.SZ,Asia/Shanghai,CST,002543.SZ,23670f0e-67e6-304d-9d24-e16593c568f9
005710.KQ,KOE,2000-02-11 00:00:00,32400000,"Daewon Sanup Co., Ltd",1,EQUITY,Daewonsanup,005710.KQ,Asia/Seoul,KST,005710.KQ,c981960c-18f0-3f6d-aade-0ad67c58db78
007340.KS,KSC,2000-01-04 00:00:00,32400000,DN Automotive Corporation,1,EQUITY,DN AUTOMOTIVE,007340.KS,Asia/Seoul,KST,007340.KS,b3522b9a-5907-34da-a464-03fbf55094e8
00HU.Z,ZRH,,3600000,,1,INDEX,STX ESG LD.FO.FR.EZ NR EO,00HU.Z,Europe/Zurich,CET,00HU.Z,
0165.HK,HKG,2000-01-04 01:30:00,28800000,China Everbright Limited,1,EQUITY,CHINA EB LTD,0165.HK,Asia/Hong_Kong,HKT,0165.HK,1c6efa74-b37c-3d34-8b76-ecbfc209d918
0180.KL,KLS,2015-11-25 01:00:00,28800000,,1,EQUITY,KTC,0180.KL,Asia/Kuala_Lumpur,MYT,0180.KL,c74478a9-0337-386e-b9fe-937c4eee63ee
01DG.BE,BER,,3600000,,1,ETF,ISHS-JPMORGAN DL EM BD.ET,01DG.BE,Europe/Berlin,CET,01DG.BE,
01Q2.Z,ZRH,,3600000,,1,INDEX,STX G.1800E.J.M.V.U.GR DL,01Q2.Z,Europe/Zurich,CET,01Q2.Z,
02FA.BE,BER,,3600000,,1,ETF,FIRST TR.LA.C.VAL.OP.ALP.,02FA.BE,Europe/Berlin,CET,02FA.BE,
03004P.TW,TAI,,28800000,,1,EQUITY,,03004P.TW,Asia/Taipei,CST,03004P.TW,
